,apmitchell,crossy,dwieman,dwoloch,eugeneg,gcheng,glenbo_nj,gordenlam,gordenlam,huyehara,ivankollar,jbrumley71,johnarcher,kharden,kharden,mkoza,mrivers,npile,orangey17,rexjacobsen,rgarga,rmeyers,sackingswin,stevekus,todd_hagopian,,treauxjan,whimelsein,,,,,,,,791branko,athompson,dcanaan,guyvega,the_barnacle,vanmeerten,todd_hagopian,rrurban,adevkota,ahknaten,jnavin,crees,dwoloch,ist.martin,jerrypettit,moonrunreport1,timbo56,loosegun
,APMIF,CIAF,DWVMF,DXF,EMF,GMF,GMF,GVF,GDF,HMF,IMF,SLO2,TAB,HTFF,KMF,TGF,RCAP,NMF,OMF,RMF,RMF,BSMF,NBNN,aval,HIBEV,Top Mutual Funds,LDGF,LFF,,,S&P 500,,,,,BK11,TPSNX,DMF,REIT,BHMFX,VMNHI,HIDEV,URB,AMF,KAI,JMF,10STX,DMF,ORR,PEF,MIDIX,SSOF1,BPMF
4203500.00000%,-3.38685%,-1.04125%,,,1.45657%,,,,,6.67029%,-,,,,,-7.49363%,,-,,,,-0.66978%,,,,,,0.94097%,,,#REF!,,,,4203500.00000%,,-2.82887%,-,,0.00000%,#REF!,,,,-2.93778%,,,,-1.13770%,-3.06067%,,-4.51375%,-
4206300.00000%,10.72652%,12.02001%,,,4.81894%,,,,,2.39067%,-,,,,,8.14433%,,4.24963%,,,,4.24307%,,,,,,5.79633%,,,#REF!,,,,4206300.00000%,,6.24210%,-,,4.19134%,#REF!,,,,6.24163%,,,,0.52860%,9.37303%,,8.70565%,-
4209400.00000%,-1.02863%,4.46307%,,,-2.56189%,,,,,-3.80984%,-,,,,,-2.05807%,,-1.38407%,,,,-2.09735%,,,,,,2.45216%,,,#REF!,,,,4209400.00000%,,-2.06858%,-,,-0.31213%,#REF!,,,,1.26619%,,,,-2.82991%,5.51953%,,1.51779%,-
4212400.00000%,-5.35316%,-5.44526%,,,1.59860%,,,,,-0.56619%,-,,,,,5.26961%,,-3.09401%,,,,1.16895%,,, ,,,-1.31808%,,,#REF!,,,,4212400.00000%,,4.34527%,-,,1.31422%,#REF!,,,,-1.59154%,,,,2.68502%,-4.16711%,,-6.71111%,-
4215500.00000%,-0.13097%,3.33590%,,,2.77566%,,,,,9.90218%,-4.94967%,,,,,-2.61590%,,6.67591%,,,,2.16305%,,,,,,7.99515%,,,#REF!,,,,4215500.00000%,,-1.98659%,-,,-1.66722%,#REF!,,,,1.97900%,,,,-0.66180%,-2.12411%,,1.04136%,-
4218500.00000%,0.36985%,-1.28088%,,,-0.54613%,,,,,3.57056%,-2.34330%,,,,,-2.40727%,,-0.28390%,,,,-2.64942%,,,,,,-1.10225%,,,#REF!,,,,4218500.00000%,,-3.19648%,-0.40605%,,-2.53383%,#REF!,,,,-2.01761%,,,,-0.74100%,-2.79576%,,3.30567%,5.23536%
4221600.00000%,-1.94819%,-1.75932%,,,1.29848%,,,,,-2.49328%,1.40203%,,,,,-5.72532%,,-4.11447%,,,,0.26768%,,,,,,4.63847%,,,,,,,4221600.00000%,,-3.06095%,0.53972%,,-5.04876%,#REF!,,,,0.49825%,,,,-2.57523%,-2.02557%,,1.72584%,-0.24373%
4224700.00000%,-3.50118%,-9.40738%,,,-4.21664%,,,,,-4.35908%,-6.64087%,,,,,-10.19186%,,-6.81220%,,,,-5.69938%,,,,,,-4.72096%,,,,,,,4224700.00000%,,-1.83513%,-5.32818%,,-5.14690%,#REF!,,,,-7.44477%,,,,-7.10322%,-4.02565%,,-1.88946%,17.21934%
4227700.00000%,-3.64316%,-14.30130%,,,-3.89918%,,,,,-9.90637%,4.85067%,,,,,-12.13129%,,-5.16799%,,,,-1.52806%,,,,,,-3.12964%,,,,,,,4227700.00000%,-16.85385%,-6.31386%,-0.78915%,,-3.91183%,#REF!,,,,-2.30426%,,,,-3.02247%,-3.55536%,,-4.73054%,-16.49784%
4230800.00000%,14.05427%,1.58757%,,,3.74675%,,,,,2.19868%,0.93893%,,,,,3.08769%,,5.22871%,,,5.74348%,4.17451%,,,,,,6.82980%,,,,,,,4230800.00000%,-0.91434%,7.02656%,4.58048%,,5.97303%,#REF!,,,,8.10796%,,,,10.78457%,12.37899%,,0.67227%,-7.70624%
4233800.00000%,-1.67625%,5.94838%,,,1.34752%,,,,,13.65567%,1.41798%,,,,,5.60740%,,-2.17879%,,,1.30643%,0.13504%,,,,,,-0.88848%,,,,,,,4233800.00000%,2.14310%,-0.95377%,-1.47726%,,-0.07436%,#REF!,,,,-0.94764%,,,,1.77151%,-0.97582%,,4.49572%,0.50969%
