Client Name:  Marketocracy Capital Management, LLC
Folio Name:  FOLIOfn: whimelsein_LFF
Folio Number:  9A1525900D01
Download Date:  04/16/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
04/15/2019,273572.81393,0.00000,0.00000,0.00000,0.32680,0.32680
04/12/2019,272681.70294,0.00000,0.00000,0.00000,0.90314,0.90314
04/11/2019,270241.03624,0.00000,0.00000,0.00000,0.24931,0.24931
04/10/2019,269568.97273,0.00000,0.00000,0.00000,0.81756,0.81756
04/09/2019,267382.96284,0.00000,0.00000,0.00000,-0.08270,-0.08270
04/08/2019,267604.26707,0.00000,0.00000,0.00000,-0.09905,-0.09905
04/05/2019,267869.58231,0.00000,0.00000,0.00000,0.40350,0.40350
04/04/2019,266793.06362,0.00000,0.00000,0.00000,-0.75355,-0.75355
04/03/2019,268818.74661,0.00000,0.00000,0.00000,0.03166,0.03166
04/02/2019,268733.67275,0.00000,0.00000,0.00000,0.06508,0.06508
04/01/2019,268558.89988,0.00000,0.00000,0.00000,0.67784,0.67784
03/29/2019,266750.76326,0.00000,0.00000,0.00000,0.54259,0.54259
03/28/2019,265311.20225,0.00134,0.00000,0.00000,0.11292,0.11292
03/27/2019,265011.95376,0.00000,0.00000,0.00000,-0.78755,-0.78755
03/26/2019,267115.62772,0.00000,0.00000,0.00000,0.56211,0.56211
03/25/2019,265622.52624,0.00000,0.00000,0.00000,0.89660,0.89660
03/22/2019,263262.13018,0.00000,0.00000,0.00000,-1.82833,-1.82833
03/21/2019,268165.06361,0.00000,0.00000,0.00000,1.49193,1.49193
03/20/2019,264223.02794,0.00000,0.00000,0.00000,0.54501,0.54501
03/19/2019,262790.80290,0.00000,0.00000,0.00000,0.33202,0.33202
03/18/2019,261921.16195,0.00000,0.00000,0.00000,0.13786,0.13786
03/15/2019,261560.58386,-0.00005,0.00000,0.00000,0.44439,0.44439
