Client Name:  Marketocracy Capital Management, LLC
Folio Name:  FOLIOfn: apmitchell_APMIF
Folio Number:  9A1527700L01
Download Date:  11/01/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
10/31/2019,211582.32259,0.00000,0.00000,0.00000,0.20818,0.20818
10/30/2019,211142.77138,0.00000,0.00000,0.00000,-0.22080,-0.22080
10/29/2019,211610.00990,0.00000,0.00000,0.00000,-1.14198,-1.14198
10/28/2019,214054.47029,0.00000,0.00000,0.00000,1.40704,1.40704
10/25/2019,211084.43390,0.00256,0.00000,0.00000,1.02127,1.02127
10/24/2019,208950.47405,0.00000,0.00000,0.00000,-1.04134,-1.04134
10/23/2019,211149.25943,0.00019,0.00000,0.00000,0.30301,0.30301
10/22/2019,210427.44089,0.00000,83.95583,0.00000,-1.16352,-1.16352
10/21/2019,212905.62010,0.00000,83.95583,0.00000,1.59307,1.59307
10/18/2019,209565.74344,0.00000,83.95583,0.00000,-1.02174,-1.02174
10/17/2019,211729.92533,0.00000,83.95583,0.00000,0.01462,0.01462
10/16/2019,211698.95776,0.00000,83.95583,0.00000,-0.15428,-0.15428
10/15/2019,212026.20027,0.00000,83.95583,0.00000,1.72048,1.72048
10/14/2019,208438.61149,0.00000,83.95583,0.00000,-0.12959,-0.12959
10/11/2019,208709.17826,0.00000,83.95583,0.00000,2.39416,2.39416
10/10/2019,203827.22359,0.00000,83.95583,0.00000,0.36178,0.36178
10/09/2019,203092.18287,0.00000,83.95583,0.00000,0.90515,0.90515
10/08/2019,201269.62737,0.00000,83.95583,0.00000,-1.98811,-1.98811
10/07/2019,205353.95865,0.00000,83.95583,0.00000,-0.42306,-0.42306
10/04/2019,206226.78683,0.00000,83.95583,0.00000,0.88273,0.88273
10/03/2019,204421.54868,0.00000,83.95583,0.00000,1.10850,1.10850
10/02/2019,202263.41720,0.00000,0.00000,0.00000,-1.15146,-1.15146
10/01/2019,204619.52142,0.00000,0.00000,0.00000,-1.38889,-1.38889
09/30/2019,207501.49123,0.00000,0.00000,0.00000,0.57636,0.57636
