Client Name:  Marketocracy Capital Management, LLC
Folio Name:  FOLIOfn: apmitchell_APMIF
Folio Number:  9A1527700L01
Download Date:  02/27/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
02/26/2020,231777.50673,-0.00645,0.00000,0.00000,-0.83410,-0.83410
02/25/2020,233727.02199,0.00000,0.00000,0.00000,-3.05875,-3.05875
02/24/2020,241101.71171,0.00000,0.00000,0.00000,-4.36945,-4.36945
02/21/2020,252117.88441,0.00000,0.00000,0.00000,-2.45159,-2.45159
02/20/2020,258454.11817,0.00000,0.00000,0.00000,-0.63083,-0.63083
02/19/2020,260094.86466,0.00000,0.00000,0.00000,1.15787,1.15787
02/18/2020,257117.77789,0.00000,0.00000,0.00000,0.28455,0.28455
02/14/2020,256388.22504,0.00000,0.00000,0.00000,-0.42940,-0.42940
02/13/2020,257493.91272,-0.00095,0.00000,0.00000,-0.66387,-0.66387
02/12/2020,259196.54659,0.00000,18.21641,0.00000,1.45499,1.45499
02/11/2020,255479.08045,0.00970,18.21641,0.00000,2.01111,2.01111
02/10/2020,250442.03981,0.00000,18.21641,0.00000,0.54350,0.54350
02/07/2020,249088.14171,0.00000,18.21641,0.00000,-0.60305,-0.60305
02/06/2020,250617.70117,0.00000,0.00000,0.00000,1.43988,1.43988
02/05/2020,247060.33603,0.00000,0.00000,0.00000,-0.25825,-0.25825
02/04/2020,247700.02990,0.00000,0.00000,0.00000,2.37401,2.37401
02/03/2020,241955.98243,0.00006,0.00000,0.00000,1.70777,1.70777
01/31/2020,237754.45438,0.00000,138.86124,0.00000,-1.50582,-1.50582
01/30/2020,241391.47837,0.00000,138.86124,0.00000,-0.53969,-0.53969
01/29/2020,242702.07269,0.00000,138.86124,0.00000,-0.26103,-0.26103
01/28/2020,243337.61426,0.00000,138.86124,0.00000,1.71865,1.71865
01/27/2020,239223.79709,-0.00512,138.86124,0.00000,-2.59124,-2.59124
01/24/2020,245591.27079,0.00000,138.86124,0.00000,-1.56345,-1.56345
01/23/2020,249494.15384,0.00000,138.86124,0.00000,-0.05160,-0.05160
01/22/2020,249623.03686,0.00020,138.86124,0.00000,0.09636,0.09636
01/21/2020,249298.01389,-0.00020,223.43361,0.00000,-0.88346,-0.88346
01/17/2020,251463.35865,0.00000,282.16809,0.00000,0.45267,0.45267
01/16/2020,250328.92392,-0.00004,282.16809,0.00000,1.15817,1.15817
01/15/2020,247401.64619,0.00000,340.16388,0.00000,0.01943,0.01943
01/14/2020,247353.51586,0.00000,340.16388,0.00000,-0.06295,-0.06295
01/13/2020,247509.53217,0.00326,340.16388,0.00000,1.10119,1.10119
01/10/2020,244809.97028,0.00000,340.16388,0.00000,-0.34824,-0.34824
01/09/2020,245666.65772,0.00000,340.16388,0.00000,0.74632,0.74632
01/08/2020,243983.12839,0.00000,201.30264,0.00000,0.78828,0.78828
01/07/2020,242073.32599,0.00000,201.30264,0.00000,0.47187,0.47187
01/06/2020,240935.46595,0.00000,201.30264,0.00000,0.32798,0.32798
01/03/2020,240147.17520,0.00000,201.30264,0.00000,-1.15517,-1.15517
01/02/2020,242956.04444,0.00000,201.30264,0.00000,2.39738,2.39738
