Client Name:  Marketocracy Capital Management, LLC
Folio Name:  apmitchell:APMHF
Folio Number:  9A1527700L02
Download Date:  04/01/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
03/29/2019,2253403.44962,0.00000,0.00000,0.00000,0.63254,0.63254
03/28/2019,2239239.34349,0.00012,0.00000,0.00000,-0.43719,-0.43719
03/27/2019,2248186.91645,0.00000,885.20149,0.00000,-0.91063,-0.91063
03/26/2019,2268855.75656,0.00000,885.20149,0.00000,0.92483,0.92483
03/25/2019,2248056.81393,0.00000,885.20149,0.00000,-0.11133,-0.11133
03/22/2019,2250563.35903,0.00000,885.20149,0.00000,-2.02351,-2.02351
03/21/2019,2297062.55107,0.00000,885.20149,0.00000,1.27841,1.27841
03/20/2019,2268056.17244,1206.91927,885.20149,0.00000,-0.36518,-0.36518
03/19/2019,2275163.08622,0.00019,885.20149,0.00000,-0.01580,-0.01580
03/18/2019,2276237.19778,0.00000,170.67670,0.00000,0.55294,0.55294
03/15/2019,2263719.18721,-0.00003,170.67670,0.00000,-0.68999,-0.68999
03/14/2019,2278772.11221,0.00000,846.94173,0.00000,-0.57089,-0.57089
03/13/2019,2291860.91498,0.00000,846.94173,0.00000,0.83703,0.83703
03/12/2019,2272829.55005,0.00000,846.94173,0.00000,-0.16255,-0.16255
03/11/2019,2276531.36345,-0.00054,846.94173,0.00000,1.12261,1.12261
03/08/2019,2251249.00286,-1206.91909,846.94173,0.00000,-0.40332,-0.40332
03/07/2019,2261578.33790,0.00000,846.94173,0.00000,-1.18590,-1.18590
03/06/2019,2289406.66728,0.00000,170.67670,0.00000,-0.67915,-0.67915
03/05/2019,2305062.56684,0.00000,170.67670,0.00000,-0.07213,-0.07213
03/04/2019,2306726.45497,0.00391,170.67670,0.00000,-0.31613,-0.31613
03/01/2019,2314042.31222,0.00000,170.67670,0.00000,0.56008,0.56008
02/28/2019,2301323.79975,0.00000,0.00000,0.00000,-0.45120,-0.45120
02/27/2019,2311754.53220,0.00000,0.00000,0.00000,-0.34740,-0.34740
02/26/2019,2319813.65633,-0.00039,0.00000,0.00000,-0.01421,-0.01421
