Client Name:  Marketocracy Capital Management, LLC
Folio Name:  apmitchell:APMHF
Folio Number:  9A1527700L02
Download Date:  09/03/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
08/30/2019,2262650.29140,0.00000,0.00000,0.00000,0.32133,0.32133
08/29/2019,2255403.04168,-0.00386,0.00000,0.00000,8.18702,8.18702
08/28/2019,2084726.17117,0.00000,0.00000,0.00000,1.05304,1.05304
08/27/2019,2063001.96048,0.00090,0.00000,0.00000,-1.22742,-1.22742
08/26/2019,2085997.28162,0.00000,2641.02606,0.00000,0.13674,0.13674
08/23/2019,2083145.23462,-0.00022,2641.02606,0.00000,-1.49026,-1.49026
08/22/2019,2113826.34059,0.00000,3513.70099,0.00000,-0.14570,-0.14570
08/21/2019,2116915.76405,0.00000,3513.70099,0.00000,0.87384,0.87384
08/20/2019,2098547.02680,0.00000,3513.70099,0.00000,-0.06768,-0.06768
08/19/2019,2099970.61221,0.00000,3513.70099,0.00000,1.24629,1.24629
08/16/2019,2074077.86870,0.00000,3513.70099,0.00000,1.85501,1.85501
08/15/2019,2036240.18166,0.00000,3513.70099,0.00000,-0.66913,-0.66913
08/14/2019,2051579.34825,0.00000,1915.12674,0.00000,-3.49956,-3.49956
08/13/2019,2126048.71776,0.00000,1915.12674,0.00000,1.33309,1.33309
08/12/2019,2098595.00841,0.00000,1374.31284,0.00000,-2.94976,-2.94976
08/09/2019,2162923.38998,0.00000,872.67493,0.00000,-0.40013,-0.40013
08/08/2019,2171616.23855,0.00000,872.67493,0.00000,1.10015,1.10015
08/07/2019,2147975.66459,0.00000,872.67493,0.00000,-0.74545,-0.74545
08/06/2019,2164440.72337,0.00000,546.49212,0.00000,0.40534,0.40534
08/05/2019,2155700.68278,0.00000,546.49212,0.00000,-2.89013,-2.89013
08/02/2019,2219873.67362,0.00000,546.49212,0.00000,-0.49786,-0.49786
08/01/2019,2231530.12025,0.00000,0.00000,0.00000,-1.49626,-1.49626
07/31/2019,2265426.74740,0.00000,0.00000,0.00000,-1.75372,-1.75372
07/30/2019,2305865.21927,0.00000,0.00000,0.00000,-0.47887,-0.47887
