Client Name:  Marketocracy Capital Management, LLC
Folio Name:  apmitchell:APMRF
Folio Number:  9A1527700L03
Download Date:  06/04/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
06/03/2019,1301123.41029,0.00001,0.00000,0.00000,-0.44037,-0.44037
05/31/2019,1306878.52378,0.00000,0.00000,0.00000,-2.41504,-2.41504
05/30/2019,1339221.31379,0.00000,0.00000,0.00000,0.31402,0.31402
05/29/2019,1335029.09949,0.00000,0.00000,0.00000,-0.49562,-0.49562
05/28/2019,1341678.71165,0.00000,0.00000,0.00000,0.09638,0.09638
05/24/2019,1340386.85367,-0.00428,0.00000,0.00000,0.50786,0.50786
05/23/2019,1333006.44294,0.00000,607.57730,0.00000,-1.92353,-1.92353
05/22/2019,1359162.08129,0.00000,607.57730,0.00000,-0.48855,-0.48855
05/21/2019,1365837.79642,0.00000,607.57730,0.00000,1.09195,1.09195
05/20/2019,1351078.08207,0.00000,607.57730,0.00000,-0.83928,-0.83928
05/17/2019,1362518.53826,0.00000,607.57730,0.00000,-0.81571,-0.81571
05/16/2019,1373729.14167,0.00000,607.57730,0.00000,0.85612,0.85612
05/15/2019,1362062.99289,0.00403,607.57730,0.00000,0.94025,0.94025
05/14/2019,1349369.77819,0.00000,607.57730,0.00000,1.41305,1.41305
05/13/2019,1330559.74596,0.00000,607.57730,0.00000,-3.82902,-3.82902
05/10/2019,1383559.85777,0.00000,607.57730,0.00000,0.16593,0.16593
05/09/2019,1381266.86110,0.00000,607.57730,0.00000,-0.63141,-0.63141
05/08/2019,1390047.62223,0.00000,607.57730,0.00000,-0.07723,-0.07723
05/07/2019,1391310.06413,0.00000,420.01046,0.00000,-1.95716,-1.95716
05/06/2019,1419092.15578,0.00000,420.01046,0.00000,-0.98847,-0.98847
05/03/2019,1433263.62134,0.00000,420.01046,0.00000,1.25831,1.25831
