Client Name:  Marketocracy Capital Management, LLC
Folio Name:  apmitchell:APMRF
Folio Number:  9A1527700L03
Download Date:  08/08/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
08/07/2019,1406399.60534,0.00000,0.00000,0.00000,-0.13023,-0.13023
08/06/2019,1408233.53611,0.00000,0.00000,0.00000,1.48152,1.48152
08/05/2019,1387674.81184,0.00000,0.00000,0.00000,-3.11330,-3.11330
08/02/2019,1432265.54030,0.00000,0.00000,0.00000,-1.01556,-1.01556
08/01/2019,1446960.32359,-0.00012,0.00000,0.00000,-1.46221,-1.46221
07/31/2019,1467088.74648,0.00000,1343.15572,0.00000,-1.72615,-1.72615
07/30/2019,1492881.33192,0.00000,1343.15572,0.00000,-0.13183,-0.13183
07/29/2019,1494853.80296,0.00000,1343.15572,0.00000,-0.32308,-0.32308
07/26/2019,1499703.42434,0.00000,1343.15572,0.00000,1.04664,1.04664
07/25/2019,1484155.63619,0.00000,1343.15572,0.00000,-1.11499,-1.11499
07/24/2019,1500905.57298,-0.00027,1343.15572,0.00000,1.20377,1.20377
07/23/2019,1482461.12329,0.00000,1919.14446,0.00000,0.83842,0.83842
07/22/2019,1470119.32368,0.00000,1919.14446,0.00000,0.29816,0.29816
07/19/2019,1465743.28243,0.00000,1919.14446,0.00000,-0.46960,-0.46960
07/18/2019,1472667.90341,0.00000,1919.14446,0.00000,0.12103,0.12103
07/17/2019,1470885.35823,0.00000,1919.14446,0.00000,-0.85429,-0.85429
07/16/2019,1483575.72773,0.00000,1919.14446,0.00000,-0.64334,-0.64334
07/15/2019,1493194.36000,0.00000,1919.14446,0.00000,0.77296,0.77296
07/12/2019,1481726.36571,0.00000,1919.14446,0.00000,1.20087,1.20087
07/11/2019,1464121.06915,0.00000,1919.14446,0.00000,-0.16216,-0.16216
07/10/2019,1466502.23027,0.00000,1919.14446,0.00000,0.71059,0.71059
07/09/2019,1456141.37911,0.00000,1919.14446,0.00000,0.70037,0.70037
07/08/2019,1447343.71116,0.00000,575.98874,0.00000,-0.12591,-0.12591
07/05/2019,1449169.07123,0.00000,575.98874,0.00000,0.24361,0.24361
