Client Name:  Marketocracy Capital Management, LLC
Folio Name:  apmitchell:APMRF
Folio Number:  9A1527700L03
Download Date:  09/03/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
08/30/2019,1425349.53074,0.00000,0.00000,0.00000,0.35624,0.35624
08/29/2019,1420289.92589,0.00000,0.00000,0.00000,1.43958,1.43958
08/28/2019,1400133.86073,0.00000,0.00000,0.00000,0.82643,0.82643
08/27/2019,1388657.60684,0.00000,0.00000,0.00000,-0.27652,-0.27652
08/26/2019,1392508.19956,0.00000,0.00000,0.00000,1.14638,1.14638
08/23/2019,1376725.64514,0.00018,0.00000,0.00000,-3.17534,-3.17534
08/22/2019,1421395.74572,0.00000,479.25122,0.00000,0.25215,0.25215
08/21/2019,1417819.46881,0.00000,479.25122,0.00000,1.69444,1.69444
08/20/2019,1394187.62657,0.00000,479.25122,0.00000,-1.07323,-1.07323
08/19/2019,1409318.03241,0.00000,479.25122,0.00000,1.50248,1.50248
08/16/2019,1388449.71461,0.00000,479.25122,0.00000,2.13561,2.13561
08/15/2019,1359407.79928,0.00000,479.25122,0.00000,-1.09355,-1.09355
08/14/2019,1374443.24664,0.00000,479.25122,0.00000,-3.40659,-3.40659
08/13/2019,1422933.03378,0.00000,479.25122,0.00000,1.45970,1.45970
08/12/2019,1402454.47824,0.00000,479.25122,0.00000,-1.59869,-1.59869
08/09/2019,1425247.44588,0.00000,479.25122,0.00000,-0.79234,-0.79234
08/08/2019,1436634.29975,0.00000,479.25122,0.00000,2.14906,2.14906
08/07/2019,1406399.60534,0.00000,479.25122,0.00000,-0.13018,-0.13018
08/06/2019,1408233.53611,0.00000,479.25122,0.00000,1.48101,1.48101
08/05/2019,1387674.81184,0.00000,479.25122,0.00000,-3.11226,-3.11226
08/02/2019,1432265.54030,0.00000,479.25122,0.00000,-0.98244,-0.98244
08/01/2019,1446960.32359,-0.00012,0.00000,0.00000,-1.46221,-1.46221
07/31/2019,1467088.74648,0.00000,1343.15572,0.00000,-1.72615,-1.72615
07/30/2019,1492881.33192,0.00000,1343.15572,0.00000,-0.13183,-0.13183
