Client Name:  Marketocracy Capital Management, LLC
Folio Name:  apmitchell:APMCF
Folio Number:  9A1527700L04
Download Date:  03/18/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
03/15/2019,1486274.96529,0.00000,0.00000,0.00000,0.61713,0.61713
03/14/2019,1477158.94544,0.00019,0.00000,0.00000,-0.67800,-0.67800
03/13/2019,1486746.63060,0.00000,495.86109,0.00000,0.47552,0.47552
03/12/2019,1479491.26204,-0.00005,712.49249,0.00000,0.85724,0.85724
03/11/2019,1466136.01874,-0.00001,1486.64451,0.00000,2.11808,2.11808
03/08/2019,1434892.16333,0.00000,2289.87256,0.00000,-0.34643,-0.34643
03/07/2019,1439787.86719,0.00000,2390.28499,0.00000,-1.55856,-1.55856
03/06/2019,1462620.97501,0.00000,2390.28499,0.00000,-1.74720,-1.74720
03/05/2019,1488672.75600,0.00000,2390.28499,0.00000,0.13330,0.13330
03/04/2019,1486687.78065,0.00000,2390.28499,0.00000,-0.58612,-0.58612
03/01/2019,1495467.04723,0.00000,2390.28499,0.00000,0.75754,0.75754
02/28/2019,1484205.49012,0.00000,2390.28499,0.00000,-0.10634,-0.10634
02/27/2019,1485787.97113,0.00000,2390.28499,0.00000,-0.74600,-0.74600
02/26/2019,1496973.29400,0.00000,2390.28499,0.00000,-0.57645,-0.57645
02/25/2019,1505666.44990,0.00000,2390.28499,0.00000,0.85588,0.85588
02/22/2019,1493643.03849,0.00199,1616.13297,0.00000,1.08356,1.08356
02/21/2019,1476898.28613,0.00000,2332.53876,0.00000,-0.60259,-0.60259
02/20/2019,1485866.08431,-0.00032,2332.53876,0.00000,0.14522,0.14522
02/19/2019,1483708.09103,0.00000,2332.53876,0.00000,0.51350,0.51350
02/15/2019,1476612.10568,0.00000,1836.67767,0.00000,0.88924,0.88924
02/14/2019,1463580.96528,0.00000,1836.67767,0.00000,-0.09580,-0.09580
02/13/2019,1464986.19237,0.00000,1836.67767,0.00000,0.20077,0.20077
02/12/2019,1462047.15548,0.00000,1836.67767,0.00000,0.50079,0.50079
