Client Name:  Marketocracy Capital Management, LLC
Folio Name:  apmitchell:APMCF
Folio Number:  9A1527700L04
Download Date:  08/08/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
08/07/2019,1506697.48884,0.00000,0.00000,0.00000,-0.16474,-0.16474
08/06/2019,1509183.74880,0.00000,0.00000,0.00000,1.63216,1.63216
08/05/2019,1484947.01772,0.00000,0.00000,0.00000,-3.92114,-3.92114
08/02/2019,1545550.22378,0.00000,0.00000,0.00000,-1.53320,-1.53320
08/01/2019,1569615.63959,-0.00017,0.00000,0.00000,-2.52254,-2.52254
07/31/2019,1608736.30539,0.00000,1498.15712,0.00000,-2.85988,-2.85988
07/30/2019,1656142.85281,0.00000,1498.15712,0.00000,-0.37140,-0.37140
07/29/2019,1662322.22261,0.00000,1498.15712,0.00000,-0.59811,-0.59811
07/26/2019,1672333.55437,0.00000,1498.15712,0.00000,0.94728,0.94728
07/25/2019,1656626.42522,0.00000,1498.15712,0.00000,-1.59830,-1.59830
07/24/2019,1683558.65173,-0.00021,1498.15712,0.00000,1.31978,1.31978
07/23/2019,1661300.11020,0.00000,1807.36873,0.00000,1.59884,1.59884
07/22/2019,1635128.14661,0.00000,1807.36873,0.00000,0.24425,0.24425
07/19/2019,1631139.75154,0.00000,1807.36873,0.00000,-0.55389,-0.55389
07/18/2019,1640234.90206,0.00000,1807.36873,0.00000,-0.25400,-0.25400
07/17/2019,1644416.34662,0.00000,1807.36873,0.00000,-0.81953,-0.81953
07/16/2019,1658019.12501,0.00000,1807.36873,0.00000,-0.41385,-0.41385
07/15/2019,1664916.80500,0.00000,1807.36873,0.00000,1.26479,1.26479
07/12/2019,1644099.55651,0.00000,1807.36873,0.00000,1.15838,1.15838
07/11/2019,1625252.07216,0.00000,1807.36873,0.00000,-0.49582,-0.49582
07/10/2019,1633359.60647,0.00000,1807.36873,0.00000,0.31327,0.31327
07/09/2019,1628253.08501,0.00000,1807.36873,0.00000,0.97584,0.97584
07/08/2019,1613998.15589,0.00000,309.21161,0.00000,-0.41218,-0.41218
07/05/2019,1620679.61240,0.00000,309.21161,0.00000,0.29279,0.29279
