Client Name:  Marketocracy Capital Management, LLC
Folio Name:  FOLIOfn: loosegun_BPMF
Folio Number:  9A1530400H01
Download Date:  02/06/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
02/05/2019,104073.10763,0.00000,0.00000,0.00000,0.25406,0.25406
02/04/2019,103809.36727,0.00000,0.00000,0.00000,0.72952,0.72952
02/01/2019,103057.54529,0.00000,0.00000,0.00000,0.64130,0.64130
01/31/2019,102400.85227,0.00000,0.00000,0.00000,0.72712,0.72712
01/30/2019,101661.64670,0.00000,0.00000,0.00000,2.10607,2.10607
01/29/2019,99564.74452,0.00000,0.00000,0.00000,-0.60109,-0.60109
01/28/2019,100166.84169,0.00000,0.00000,0.00000,-0.69290,-0.69290
01/25/2019,100865.74132,0.00000,0.00000,0.00000,1.48211,1.48211
01/24/2019,99392.63328,0.00000,0.00000,0.00000,0.55378,0.55378
01/23/2019,98845.24759,0.00000,0.00000,0.00000,-0.66963,-0.66963
01/22/2019,99511.60371,0.00000,0.00000,0.00000,-1.90050,-1.90050
01/18/2019,101439.46437,0.00000,0.00000,0.00000,-0.05884,-0.05884
01/17/2019,101499.18729,0.00000,0.00000,0.00000,0.03565,0.03565
01/16/2019,101463.01138,0.00000,0.00000,0.00000,0.14391,0.14391
01/15/2019,101317.21038,-0.00003,0.00000,0.00000,1.07511,1.07511
01/14/2019,100207.27767,0.00000,32.24583,0.00000,-0.40845,-0.40845
01/11/2019,100618.38698,0.00011,32.24583,0.00000,0.89409,0.89409
01/10/2019,99723.97269,0.00000,34.72308,0.00000,-0.23130,-0.23130
01/09/2019,99955.24544,0.00000,34.72308,0.00000,0.68497,0.68497
01/08/2019,99275.00769,0.00000,34.72308,0.00000,0.52858,0.52858
01/07/2019,98752.84089,0.00000,34.72308,0.00000,1.96057,1.96057
01/04/2019,96853.28393,0.00000,34.72308,0.00000,3.73940,3.73940
