Client Name:  Marketocracy Capital Management, LLC
Folio Name:  FOLIOfn: loosegun_BPMF
Folio Number:  9A1530400H01
Download Date:  10/23/2018

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
10/22/2018,115852.22587,-0.00001,0.00000,0.00000,-2.38049,-2.38049
10/19/2018,118677.32459,0.00000,0.00000,0.00000,-1.42770,-1.42770
10/18/2018,120396.21947,0.00000,0.00000,0.00000,-1.94444,-1.94444
10/17/2018,122783.67257,0.00000,0.00000,0.00000,-0.44405,-0.44405
10/16/2018,123331.32334,0.00000,0.00000,0.00000,3.06978,3.06978
10/15/2018,119658.07937,0.00002,0.00000,0.00000,-0.50166,-0.50166
10/12/2018,120229.75735,0.00007,31.62869,0.00000,1.97357,1.97357
10/11/2018,117900.34072,0.00000,33.53714,0.00000,-1.53100,-1.53100
10/10/2018,119733.97893,0.00000,33.53714,0.00000,-4.70282,-4.70282
10/09/2018,125644.37929,0.00000,33.53714,0.00000,0.07916,0.07916
10/08/2018,125576.59662,-0.00002,1.90845,0.00000,-0.95987,-0.95987
10/05/2018,126793.67058,0.00000,1.90845,0.00000,-0.66756,-0.66756
10/04/2018,127645.79823,0.00000,1.90845,0.00000,-2.93879,-2.93879
10/03/2018,131510.67139,0.00000,1.90845,0.00000,-1.41587,-1.41587
10/02/2018,133399.46654,0.00003,1.90845,0.00000,-1.14408,-1.14408
10/01/2018,134943.34589,0.00000,1.90845,0.00000,-1.95510,-1.95510
09/28/2018,137634.27301,0.00000,1.90845,0.00000,0.27439,0.27439
09/27/2018,137257.64109,0.00000,1.90845,0.00000,0.25099,0.25099
09/26/2018,136915.90551,-0.00006,0.00000,0.00000,-0.26144,-0.26144
09/25/2018,137274.79028,0.00000,0.00000,0.00000,0.43343,0.43343
09/24/2018,136682.36442,-0.00007,0.00000,0.00000,1.12768,1.12768
09/21/2018,135158.20835,0.00041,0.00000,0.00000,-0.82050,-0.82050
09/20/2018,136274.28137,0.00000,2.08085,0.00000,0.67398,0.67398
09/19/2018,135337.42190,-0.00001,26.61896,0.00000,0.39310,0.39310
09/18/2018,134807.39294,0.00000,26.61896,0.00000,6.15682,6.15682
09/17/2018,126987.37265,0.00000,26.61896,0.00000,-1.45812,-1.45812
09/14/2018,128866.78731,0.00001,26.61896,0.00000,-0.54623,-0.54623
09/13/2018,129574.71089,0.00000,26.61896,0.00000,0.10986,0.10986
09/12/2018,129432.48557,0.00000,26.61896,0.00000,-0.15440,-0.15440
09/11/2018,129632.67633,0.00000,26.61896,0.00000,-0.17152,-0.17152
09/10/2018,129855.45039,0.00000,26.61896,0.00000,0.16292,0.16292
09/07/2018,129644.19079,0.00000,26.61896,0.00000,0.27366,0.27366
09/06/2018,129290.29987,0.00000,26.61896,0.00000,-2.93474,-2.93474
09/05/2018,133200.16604,0.00000,26.61896,0.00000,-1.62145,-1.62145
09/04/2018,135395.98148,0.00000,26.61896,0.00000,0.13722,0.13722
08/31/2018,135210.40449,0.00000,26.61896,0.00000,1.16425,1.16425
08/30/2018,133678.56801,-0.00180,2.08085,0.00000,2.09487,2.09487
08/29/2018,130935.60175,0.00000,2.08085,0.00000,1.82801,1.82801
08/28/2018,128587.09740,0.00050,0.00000,0.00000,0.33297,0.33297
08/27/2018,128154.03733,0.00000,6.32647,0.00000,0.56728,0.56728
08/24/2018,127431.10410,0.00000,6.32647,0.00000,0.29585,0.29585
08/23/2018,127055.19779,0.00000,6.32647,0.00000,0.63413,0.63413
08/22/2018,126254.54174,0.00000,6.32647,0.00000,1.95936,1.95936
08/21/2018,123828.18382,0.00000,6.32647,0.00000,0.88790,0.88790
08/20/2018,122738.33302,0.00000,6.32647,0.00000,-0.05201,-0.05201
08/17/2018,122802.20045,0.00000,6.32647,0.00000,-0.82612,-0.82612
08/16/2018,123825.20017,0.00100,6.32647,0.00000,0.75408,0.75408
08/15/2018,122889.04035,0.00053,15.68382,0.00000,-1.51491,-1.51491
08/14/2018,124779.57220,0.00000,15.68382,0.00000,0.48078,0.48078
08/13/2018,124182.44937,0.00000,15.68382,0.00000,-0.62320,-0.62320
08/10/2018,124967.63811,0.00000,9.35735,0.00000,0.51055,0.51055
08/09/2018,124342.16349,0.00000,0.00000,0.00000,0.80577,0.80577
08/08/2018,123348.25715,0.00000,0.00000,0.00000,-1.32576,-1.32576
08/07/2018,125005.53628,0.00066,0.00000,0.00000,0.64778,0.64778
08/06/2018,124200.98520,0.00000,0.00000,0.00000,0.40201,0.40201
08/03/2018,123703.68146,0.00000,0.00000,0.00000,-1.36598,-1.36598
08/02/2018,125416.84517,0.00000,0.00000,0.00000,0.10076,0.10076
08/01/2018,125290.60342,0.00000,0.00000,0.00000,0.31549,0.31549
07/31/2018,124896.57160,0.00000,0.00000,0.00000,1.62350,1.62350
07/30/2018,122901.26869,0.00000,0.00000,0.00000,-1.19197,-1.19197
07/27/2018,124383.88787,0.00000,0.00000,0.00000,-3.08507,-3.08507
07/26/2018,128343.36855,0.00000,0.00000,0.00000,0.15808,0.15808
07/25/2018,128140.80984,0.00000,0.00000,0.00000,0.93459,0.93459
07/24/2018,126954.30580,0.00000,0.00000,0.00000,-2.19629,-2.19629
07/23/2018,129805.20928,0.00000,0.00000,0.00000,-0.28643,-0.28643
07/20/2018,130178.08162,0.00000,0.00000,0.00000,-0.02589,-0.02589
07/19/2018,130211.79066,0.00000,0.00000,0.00000,0.33178,0.33178
07/18/2018,129781.20453,0.00000,0.00000,0.00000,-0.18496,-0.18496
07/17/2018,130021.69747,0.00000,0.00000,0.00000,0.18890,0.18890
07/16/2018,129776.54687,-0.00003,0.00000,0.00000,-0.83143,-0.83143
07/13/2018,130833.48513,0.00009,31.11370,0.00000,-0.31558,-0.31558
07/12/2018,131245.89409,0.00000,32.99529,0.00000,0.63613,0.63613
07/11/2018,130416.06973,0.00000,32.99529,0.00000,-0.12818,-0.12818
07/10/2018,130583.48818,0.00000,32.99529,0.00000,-1.16167,-1.16167
07/09/2018,132118.65121,0.00000,32.99529,0.00000,0.27965,0.27965
07/06/2018,131781.23848,0.00000,1.88159,0.00000,1.19738,1.19738
07/05/2018,130221.96156,0.00000,1.88159,0.00000,1.07738,1.07738
07/03/2018,128833.91322,0.00000,1.88159,0.00000,0.65745,0.65745
07/02/2018,127992.41252,0.00000,1.88159,0.00000,1.72686,1.72686
06/29/2018,125819.65016,0.00000,1.88159,0.00000,0.95974,0.95974
06/28/2018,124623.57171,0.00000,1.88159,0.00000,0.58246,0.58246
06/27/2018,123903.76600,0.00000,0.00000,0.00000,-2.97027,-2.97027
06/26/2018,127696.70751,0.00000,0.00000,0.00000,1.19756,1.19756
06/25/2018,126185.56262,-0.00136,0.00000,0.00000,-2.85893,-2.85893
06/22/2018,129899.29510,0.00000,0.00000,0.00000,0.45254,0.45254
