Client Name:  Marketocracy Capital Management, LLC
Folio Name:  loosegun:HARE
Folio Number:  9A1530400H02
Download Date:  02/06/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
02/05/2019,1003699.25688,0.00000,0.00000,0.00000,0.22822,0.22822
02/04/2019,1001413.78077,0.00000,0.00000,0.00000,0.79571,0.79571
02/01/2019,993508.29787,0.00000,0.00000,0.00000,-0.06696,-0.06696
01/31/2019,994174.00374,0.00000,0.00000,0.00000,0.19161,0.19161
01/30/2019,992272.73405,0.00000,0.00000,0.00000,1.30634,1.30634
01/29/2019,979477.47220,0.00000,0.00000,0.00000,-0.41075,-0.41075
01/28/2019,983517.31859,0.00000,0.00000,0.00000,-1.46405,-1.46405
01/25/2019,998130.41979,0.00002,0.00000,0.00000,0.44621,0.44621
01/24/2019,991345.18594,0.00000,2351.25290,0.00000,1.24537,1.24537
01/23/2019,979122.24719,0.00000,2351.25290,0.00000,-0.06904,-0.06904
01/22/2019,979800.33315,0.00000,2351.25290,0.00000,-1.93517,-1.93517
01/18/2019,999181.69501,0.00000,2351.25290,0.00000,1.81765,1.81765
01/17/2019,981302.34379,0.00000,2351.25290,0.00000,1.00900,1.00900
01/16/2019,971476.39085,0.00000,2351.25290,0.00000,-0.04988,-0.04988
01/15/2019,971962.42483,0.00029,2351.25290,0.00000,1.19838,1.19838
01/14/2019,960102.68838,0.00000,2673.28078,0.00000,-0.39706,-0.39706
01/11/2019,963940.77032,0.00000,2673.28078,0.00000,0.30174,0.30174
01/10/2019,961032.84454,0.00000,2673.28078,0.00000,0.02602,0.02602
01/09/2019,960782.18869,0.00000,2673.28078,0.00000,-0.22126,-0.22126
01/08/2019,965269.92386,0.00000,322.02788,0.00000,0.15707,0.15707
01/07/2019,963755.64848,0.00000,322.02788,0.00000,0.92000,0.92000
01/04/2019,954966.96397,0.00000,322.02788,0.00000,3.79010,3.79010
