Client Name:  Marketocracy Capital Management, LLC
Folio Name:  loosegun:HARE
Folio Number:  9A1530400H02
Download Date:  11/19/2018

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
11/16/2018,1045568.10345,0.00000,0.00000,0.00000,-0.91875,-0.91875
11/15/2018,1055263.36676,0.00000,0.00000,0.00000,2.15878,2.15878
11/14/2018,1032963.91460,0.00000,0.00000,0.00000,-1.31841,-1.31841
11/13/2018,1046764.60409,0.00000,0.00000,0.00000,-0.24696,-0.24696
11/12/2018,1049356.12251,0.00000,0.00000,0.00000,-2.23531,-2.23531
11/09/2018,1073348.80598,0.00000,0.00000,0.00000,-1.73075,-1.73075
11/08/2018,1092252.98206,0.00000,0.00000,0.00000,-2.91784,-2.91784
11/07/2018,1125081.02420,0.00000,0.00000,0.00000,4.28897,4.28897
11/06/2018,1078811.15015,0.00000,0.00000,0.00000,-0.00168,-0.00168
11/05/2018,1078829.27725,0.00000,0.00000,0.00000,-1.51121,-1.51121
11/02/2018,1095382.80012,0.00000,0.00000,0.00000,-1.01456,-1.01456
11/01/2018,1106609.98614,0.00000,0.00000,0.00000,2.32552,2.32552
10/31/2018,1081460.43694,0.00000,0.00000,0.00000,1.93022,1.93022
10/30/2018,1060981.15627,0.00000,0.00000,0.00000,1.59613,1.59613
10/29/2018,1044312.60238,0.00000,0.00000,0.00000,-0.81568,-0.81568
10/26/2018,1052900.91278,0.00000,0.00000,0.00000,1.06466,1.06466
10/25/2018,1041809.20793,0.00000,0.00000,0.00000,2.67787,2.67787
10/24/2018,1014638.51897,0.00000,0.00000,0.00000,-4.33572,-4.33572
10/23/2018,1060624.26298,0.00000,0.00000,0.00000,-1.00896,-1.00896
10/22/2018,1071434.60668,0.00000,0.00000,0.00000,-0.39453,-0.39453
10/19/2018,1075678.51617,0.00000,0.00000,0.00000,-2.48514,-2.48514
10/18/2018,1103091.94768,0.00000,0.00000,0.00000,-0.94089,-0.94089
10/17/2018,1113569.42346,0.00000,0.00000,0.00000,-0.09801,-0.09801
10/16/2018,1114661.87531,0.00000,0.00000,0.00000,3.10525,3.10525
10/15/2018,1081091.24748,-0.00002,0.00000,0.00000,-0.47839,-0.47839
10/12/2018,1085967.61742,0.00000,320.32595,0.00000,1.14289,1.14289
10/11/2018,1073692.82475,0.00000,320.32595,0.00000,-1.25320,-1.25320
10/10/2018,1087323.12033,0.00000,320.32595,0.00000,-2.91449,-2.91449
10/09/2018,1119974.04060,0.00000,320.32595,0.00000,-0.25304,-0.25304
10/08/2018,1122816.05356,0.00000,320.32595,0.00000,-1.41450,-1.41450
10/05/2018,1138930.70527,0.00000,320.32595,0.00000,-0.23908,-0.23908
10/04/2018,1141660.97861,0.00000,320.32595,0.00000,-1.23561,-1.23561
10/03/2018,1155947.96826,0.00000,320.32595,0.00000,0.72951,0.72951
10/02/2018,1147573.92277,0.00000,320.32595,0.00000,-1.60582,-1.60582
10/01/2018,1166307.92494,0.00000,320.32595,0.00000,-1.57593,-1.57593
09/28/2018,1184987.55967,0.00052,320.32595,0.00000,0.20356,0.20356
09/27/2018,1182635.26391,0.00000,264.71326,0.00000,-0.48449,-0.48449
09/26/2018,1188394.16029,0.00000,264.71326,0.00000,-1.49238,-1.49238
09/25/2018,1206402.18635,0.00000,264.71326,0.00000,-0.04298,-0.04298
09/24/2018,1206921.05443,0.00000,264.71326,0.00000,1.05692,1.05692
09/21/2018,1194295.50582,-0.00103,264.71326,0.00000,-0.58007,-0.58007
09/20/2018,1201227.72377,0.00000,302.20586,0.00000,-0.38030,-0.38030
09/19/2018,1205814.62782,0.00000,302.20586,0.00000,0.21676,0.21676
09/18/2018,1203205.88832,0.00000,302.20586,0.00000,10.22819,10.22819
09/17/2018,1091531.08087,0.00011,302.20586,0.00000,-0.20850,-0.20850
09/14/2018,1092841.29024,-0.00012,1273.18299,0.00000,-0.76629,-0.76629
09/13/2018,1101038.30302,0.00000,1524.99304,0.00000,0.40777,0.40777
09/12/2018,1096825.34891,0.00000,1260.27978,0.00000,-0.13318,-0.13318
09/11/2018,1098289.72791,0.00000,1260.27978,0.00000,-0.17455,-0.17455
09/10/2018,1100212.39002,0.00000,1260.27978,0.00000,-0.21040,-0.21040
09/07/2018,1102534.79035,0.00000,1260.27978,0.00000,-0.12055,-0.12055
09/06/2018,1103866.99624,0.00000,1260.27978,0.00000,-1.51205,-1.51205
09/05/2018,1120833.62420,0.00000,1260.27978,0.00000,-0.69097,-0.69097
09/04/2018,1128640.84702,0.00000,1260.27978,0.00000,0.80204,0.80204
08/31/2018,1119650.72319,0.00000,1260.27978,0.00000,1.61819,1.61819
08/30/2018,1101801.04943,0.00000,1260.27978,0.00000,0.76744,0.76744
08/29/2018,1094599.69105,0.00000,60.81927,0.00000,1.04684,1.04684
08/28/2018,1083296.55828,0.00000,23.32667,0.00000,-0.05263,-0.05263
08/27/2018,1083867.01306,0.00000,23.32667,0.00000,0.16884,0.16884
08/24/2018,1082040.02051,0.00000,23.32667,0.00000,0.18958,0.18958
08/23/2018,1079992.55727,0.00000,23.32667,0.00000,1.07470,1.07470
08/22/2018,1068509.04660,0.00000,23.32667,0.00000,0.77051,0.77051
08/21/2018,1060338.81172,0.00000,23.32667,0.00000,0.37361,0.37361
08/20/2018,1056391.96603,0.00000,23.32667,0.00000,-0.27753,-0.27753
08/17/2018,1059331.96728,0.00000,23.32667,0.00000,-0.01387,-0.01387
08/16/2018,1059478.92002,0.00000,23.32667,0.00000,1.03326,1.03326
08/15/2018,1048666.74572,0.00000,0.00000,0.00000,-1.06142,-1.06142
08/14/2018,1059916.89016,0.00000,0.00000,0.00000,1.00688,1.00688
08/13/2018,1049351.19801,0.00000,0.00000,0.00000,0.14087,0.14087
08/10/2018,1047875.10169,0.00000,0.00000,0.00000,-0.16708,-0.16708
08/09/2018,1049628.82152,0.00000,0.00000,0.00000,0.05495,0.05495
08/08/2018,1049052.34989,0.00000,0.00000,0.00000,-0.33989,-0.33989
08/07/2018,1052630.08936,0.00000,0.00000,0.00000,0.43283,0.43283
08/06/2018,1048093.61831,0.00000,0.00000,0.00000,1.05736,1.05736
08/03/2018,1037127.43882,0.00000,0.00000,0.00000,-1.01921,-1.01921
08/02/2018,1047806.74222,0.00000,0.00000,0.00000,0.71963,0.71963
08/01/2018,1040320.32188,0.00000,0.00000,0.00000,0.69009,0.69009
07/31/2018,1033190.35120,0.00000,0.00000,0.00000,1.31571,1.31571
07/30/2018,1019773.07693,0.00000,0.00000,0.00000,-1.69091,-1.69091
07/27/2018,1037313.14417,0.00000,0.00000,0.00000,-1.86302,-1.86302
07/26/2018,1057005.33149,0.00000,0.00000,0.00000,0.70579,0.70579
07/25/2018,1049597.37581,0.00000,0.00000,0.00000,0.16871,0.16871
07/24/2018,1047829.62631,0.00000,0.00000,0.00000,-2.37300,-2.37300
07/23/2018,1073298.98038,0.00000,0.00000,0.00000,0.46098,0.46098
07/20/2018,1068373.93909,0.00000,0.00000,0.00000,-0.10292,-0.10292
07/19/2018,1069474.65929,0.00000,0.00000,0.00000,1.19941,1.19941
07/18/2018,1056799.33658,0.00000,0.00000,0.00000,-0.22445,-0.22445
07/17/2018,1059176.66421,0.00000,0.00000,0.00000,-0.40167,-0.40167
07/16/2018,1063448.24348,-0.00020,0.00000,0.00000,0.08544,0.08544
07/13/2018,1062247.18777,0.00000,293.24170,0.00000,0.81273,0.81273
07/12/2018,1053681.20794,0.00000,293.24170,0.00000,0.68672,0.68672
07/11/2018,1046492.68628,0.00000,293.24170,0.00000,0.48013,0.48013
07/10/2018,1041490.79173,0.00000,293.24170,0.00000,-0.84784,-0.84784
07/09/2018,1050398.93533,0.00000,293.24170,0.00000,0.69358,0.69358
07/06/2018,1043161.78923,0.00000,293.24170,0.00000,0.85834,0.85834
07/05/2018,1034281.57369,0.00000,293.24170,0.00000,0.88796,0.88796
07/03/2018,1025175.84499,0.00000,293.24170,0.00000,-0.57913,-0.57913
07/02/2018,1031149.27232,0.00000,293.24170,0.00000,1.61147,1.61147
06/29/2018,1014791.51646,0.00000,293.24170,0.00000,-0.32773,-0.32773
06/28/2018,1018422.47152,0.00000,0.00000,0.00000,0.50891,0.50891
06/27/2018,1013265.90343,0.00000,0.00000,0.00000,-3.14103,-3.14103
06/26/2018,1046125.03473,0.00000,0.00000,0.00000,0.46742,0.46742
06/25/2018,1041258.00057,1041258.00055,0.00000,0.00000,0.00000,0.00000
06/22/2018,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
