Client Name:  Marketocracy Capital Management, LLC
Folio Name:  loosegun:TMKF
Folio Number:  9A1530400H03
Download Date:  11/19/2018

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
11/16/2018,1638977.12186,0.00000,0.00000,0.00000,-1.90758,-1.90758
11/15/2018,1670849.88077,0.00000,0.00000,0.00000,2.09195,2.09195
11/14/2018,1636612.80191,0.00000,0.00000,0.00000,-0.65885,-0.65885
11/13/2018,1647467.05722,0.00000,0.00000,0.00000,0.81991,0.81991
11/12/2018,1634069.23841,0.00000,0.00000,0.00000,-3.07904,-3.07904
11/09/2018,1685981.22963,0.00000,0.00000,0.00000,-1.57295,-1.57295
11/08/2018,1712924.59684,0.00000,0.00000,0.00000,-2.10708,-2.10708
11/07/2018,1749794.07439,-0.00033,0.00000,0.00000,4.21879,4.21879
11/06/2018,1678284.71367,0.00000,677.45983,0.00000,0.48129,0.48129
11/05/2018,1670242.81297,0.00000,677.45983,0.00000,-0.04081,-0.04081
11/02/2018,1670924.91952,0.00000,677.45983,0.00000,0.44424,0.44424
11/01/2018,1663531.87691,0.00000,677.45983,0.00000,2.15125,2.15125
10/31/2018,1628484.48929,0.00000,677.45983,0.00000,3.09756,3.09756
10/30/2018,1579536.35237,0.00000,677.45983,0.00000,2.09780,2.09780
10/29/2018,1547067.70943,0.00000,677.45983,0.00000,-2.28219,-2.28219
10/26/2018,1583215.08227,0.00000,677.45983,0.00000,-1.45358,-1.45358
10/25/2018,1606577.75116,0.00000,677.45983,0.00000,2.41003,2.41003
10/24/2018,1568754.05229,0.00000,677.45983,0.00000,-4.11618,-4.11618
10/23/2018,1636127.97059,0.00000,677.45983,0.00000,-0.74420,-0.74420
10/22/2018,1649077.84938,0.00000,0.00000,0.00000,1.00398,1.00398
10/19/2018,1632685.96445,0.00000,0.00000,0.00000,-0.97997,-0.97997
10/18/2018,1648844.19587,0.00000,0.00000,0.00000,-1.82467,-1.82467
10/17/2018,1679489.34802,0.00000,0.00000,0.00000,-1.22145,-1.22145
10/16/2018,1700257.20504,0.00000,0.00000,0.00000,3.05139,3.05139
10/15/2018,1649911.97015,0.00000,0.00000,0.00000,-0.70472,-0.70472
10/12/2018,1661621.69458,0.00000,0.00000,0.00000,2.09327,2.09327
