Client Name:  Marketocracy Capital Management, LLC
Folio Name:  loosegun:DFIN
Folio Number:  9A1530400H04
Download Date:  02/06/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
02/05/2019,1463178.31207,0.00000,0.00000,0.00000,-0.16316,-0.16316
02/04/2019,1465569.53214,0.00000,0.00000,0.00000,0.90576,0.90576
02/01/2019,1452414.10084,0.00000,0.00000,0.00000,2.72289,2.72289
01/31/2019,1413914.79251,0.00000,0.00000,0.00000,1.59080,1.59080
01/30/2019,1391774.37900,0.00000,0.00000,0.00000,2.15446,2.15446
01/29/2019,1362421.49953,0.00000,0.00000,0.00000,-0.38274,-0.38274
01/28/2019,1367656.02374,0.00000,0.00000,0.00000,-2.06235,-2.06235
01/25/2019,1396455.82744,0.00000,0.00000,0.00000,1.56788,1.56788
01/24/2019,1374899.06939,0.00000,0.00000,0.00000,1.03915,1.03915
01/23/2019,1360758.75368,0.00000,0.00000,0.00000,-0.43934,-0.43934
01/22/2019,1366763.51377,0.00000,0.00000,0.00000,-2.65553,-2.65553
01/18/2019,1404048.41545,0.00000,0.00000,0.00000,0.04363,0.04363
01/17/2019,1403436.10444,0.00000,0.00000,0.00000,-0.11900,-0.11900
01/16/2019,1405108.19494,0.00000,0.00000,0.00000,-0.36476,-0.36476
01/15/2019,1410252.26023,0.00000,0.00000,0.00000,1.57724,1.57724
01/14/2019,1388354.51749,0.00000,0.00000,0.00000,-0.72984,-0.72984
01/11/2019,1398561.79299,0.00000,0.00000,0.00000,0.48499,0.48499
01/10/2019,1391811.63847,0.00000,0.00000,0.00000,0.58045,0.58045
01/09/2019,1383779.49620,0.00000,0.00000,0.00000,1.26891,1.26891
01/08/2019,1366440.60398,0.00000,0.00000,0.00000,-0.19299,-0.19299
01/07/2019,1369082.81773,0.00000,0.00000,0.00000,2.43953,2.43953
01/04/2019,1336479.02430,0.00000,0.00000,0.00000,3.86671,3.86671
