Client Name:  Marketocracy Capital Management, LLC
Folio Name:  loosegun:DFIN
Folio Number:  9A1530400H04
Download Date:  11/19/2018

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
11/16/2018,1452667.42282,0.00000,0.00000,0.00000,-0.56198,-0.56198
11/15/2018,1460877.19767,0.00000,0.00000,0.00000,5.01567,5.01567
11/14/2018,1391103.97190,0.00000,0.00000,0.00000,-2.02548,-2.02548
11/13/2018,1419863.07063,0.00000,0.00000,0.00000,-0.15677,-0.15677
11/12/2018,1422092.50467,0.00000,0.00000,0.00000,-3.66764,-3.66764
11/09/2018,1476235.49022,0.00000,0.00000,0.00000,-2.46670,-2.46670
11/08/2018,1513570.67786,0.00000,0.00000,0.00000,-0.19537,-0.19537
11/07/2018,1516533.52588,0.00000,0.00000,0.00000,1.86884,1.86884
11/06/2018,1488711.92447,0.00000,0.00000,0.00000,-0.26192,-0.26192
11/05/2018,1492621.46861,0.00000,0.00000,0.00000,0.09678,0.09678
11/02/2018,1491178.29635,0.00000,0.00000,0.00000,0.05286,0.05286
11/01/2018,1490390.47358,0.00000,0.00000,0.00000,3.66974,3.66974
10/31/2018,1437633.09504,0.00000,0.00000,0.00000,3.15180,3.15180
10/30/2018,1393706.32306,0.00000,0.00000,0.00000,1.33049,1.33049
10/29/2018,1375406.64455,0.00000,0.00000,0.00000,-1.84645,-1.84645
10/26/2018,1401280.57961,0.00000,0.00000,0.00000,-2.50784,-2.50784
10/25/2018,1437326.41430,0.00000,0.00000,0.00000,2.45307,2.45307
10/24/2018,1402912.02409,0.00000,0.00000,0.00000,-4.87444,-4.87444
10/23/2018,1474800.27610,0.00000,0.00000,0.00000,-0.64301,-0.64301
10/22/2018,1484344.81006,0.00000,0.00000,0.00000,0.72368,0.72368
10/19/2018,1473680.13877,0.00000,0.00000,0.00000,-1.36673,-1.36673
10/18/2018,1494100.47533,0.00000,0.00000,0.00000,-1.74338,-1.74338
10/17/2018,1520610.46290,0.00000,0.00000,0.00000,-0.15689,-0.15689
10/16/2018,1522999.88709,0.00000,0.00000,0.00000,2.63743,2.63743
10/15/2018,1483864.07127,0.00000,0.00000,0.00000,-0.54097,-0.54097
10/12/2018,1491934.97454,0.00000,0.00000,0.00000,2.19383,2.19383
10/11/2018,1459907.04424,0.00000,0.00000,0.00000,-0.04127,-0.04127
10/10/2018,1460509.77562,0.00000,0.00000,0.00000,-3.27283,-3.27283
10/09/2018,1509927.04657,0.00000,0.00000,0.00000,-1.24394,-1.24394
10/08/2018,1528946.27778,0.00000,0.00000,0.00000,-1.59794,-1.59794
10/05/2018,1553774.62323,0.00000,0.00000,0.00000,-1.67267,-1.67267
10/04/2018,1580206.25214,0.00000,0.00000,0.00000,-3.30464,-3.30464
10/03/2018,1634210.98125,0.00000,0.00000,0.00000,0.74062,0.74062
10/02/2018,1622196.64910,0.00000,0.00000,0.00000,-1.63641,-1.63641
10/01/2018,1649184.04021,0.00000,0.00000,0.00000,-1.43708,-1.43708
09/28/2018,1673229.65407,0.00000,0.00000,0.00000,0.38415,0.38415
09/27/2018,1666826.61951,0.00000,0.00000,0.00000,-0.58151,-0.58151
09/26/2018,1676576.13962,0.00000,0.00000,0.00000,-0.45250,-0.45250
09/25/2018,1684197.21491,0.00000,0.00000,0.00000,0.10128,0.10128
09/24/2018,1682493.23658,0.00000,0.00000,0.00000,0.90040,0.90040
09/21/2018,1667479.23604,0.00027,0.00000,0.00000,-1.46132,-1.46132
09/20/2018,1692141.33837,0.00000,66.53403,0.00000,1.46995,1.46995
09/19/2018,1667627.15112,0.00000,66.53403,0.00000,-0.67255,-0.67255
09/18/2018,1678919.12379,0.00000,66.53403,0.00000,1.39402,1.39402
09/17/2018,1655835.51140,0.00000,66.53403,0.00000,-2.54553,-2.54553
09/14/2018,1699087.99297,0.00000,66.53403,0.00000,0.18420,0.18420
09/13/2018,1695963.90527,-0.00074,66.53403,0.00000,0.05668,0.05668
09/12/2018,1694339.27964,0.00000,730.32161,0.00000,-0.57872,-0.57872
09/11/2018,1704206.13871,0.00000,730.32161,0.00000,1.64441,1.64441
09/10/2018,1676623.57826,0.00000,730.32161,0.00000,-0.04421,-0.04421
09/07/2018,1677365.44190,0.00000,730.32161,0.00000,0.10248,0.10248
09/06/2018,1675647.49036,0.00000,730.32161,0.00000,-1.33407,-1.33407
09/05/2018,1698313.85463,0.00000,730.32161,0.00000,-1.19975,-1.19975
09/04/2018,1718945.64727,0.00000,730.32161,0.00000,0.25560,0.25560
08/31/2018,1714561.34860,0.00000,730.32161,0.00000,-0.07142,-0.07142
08/30/2018,1715787.30624,0.00000,730.32161,0.00000,-0.34220,-0.34220
08/29/2018,1721681.36635,0.00000,730.32161,0.00000,0.49131,0.49131
08/28/2018,1713990.64759,0.00000,0.00000,0.00000,-0.10669,-0.10669
08/27/2018,1715821.31601,0.00000,0.00000,0.00000,1.18420,1.18420
08/24/2018,1695740.40953,0.00000,0.00000,0.00000,1.03682,1.03682
08/23/2018,1678339.06409,0.00000,0.00000,0.00000,-0.05761,-0.05761
08/22/2018,1679306.48886,0.00000,0.00000,0.00000,0.44544,0.44544
08/21/2018,1671859.34293,0.00000,0.00000,0.00000,1.52425,1.52425
08/20/2018,1646758.69415,0.00000,0.00000,0.00000,1.03288,1.03288
08/17/2018,1629923.51807,0.00000,0.00000,0.00000,-0.96880,-0.96880
08/16/2018,1645868.63490,0.00000,0.00000,0.00000,0.67092,0.67092
08/15/2018,1634899.80128,0.00000,0.00000,0.00000,-1.44702,-1.44702
08/14/2018,1658904.42119,0.00000,0.00000,0.00000,-0.64310,-0.64310
08/13/2018,1669641.87575,0.00000,0.00000,0.00000,-0.63690,-0.63690
08/10/2018,1680343.98661,0.00000,0.00000,0.00000,-0.27551,-0.27551
08/09/2018,1684986.26313,0.00000,0.00000,0.00000,1.19432,1.19432
08/08/2018,1665099.63789,0.00000,0.00000,0.00000,-0.41332,-0.41332
08/07/2018,1672010.45655,0.00000,0.00000,0.00000,0.90688,0.90688
08/06/2018,1656983.52743,0.00000,0.00000,0.00000,1.94365,1.94365
