Client Name:  Marketocracy Capital Management, LLC
Folio Name:  loosegun:cfcf
Folio Number:  9A1530400H05
Download Date:  02/06/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
02/05/2019,1548113.15266,0.00000,0.00000,0.00000,0.28654,0.28654
02/04/2019,1543689.82617,0.00000,0.00000,0.00000,0.85296,0.85296
02/01/2019,1530634.15879,-0.00004,0.00000,0.00000,-0.21429,-0.21429
01/31/2019,1533712.48151,0.00000,208.75645,0.00000,0.30490,0.30490
01/30/2019,1529049.76717,0.00000,208.75645,0.00000,1.52881,1.52881
01/29/2019,1506022.31124,0.00000,208.75645,0.00000,-1.14649,-1.14649
01/28/2019,1523491.32587,0.00000,208.75645,0.00000,-1.97988,-1.97988
01/25/2019,1554268.09906,0.00000,208.75645,0.00000,1.89306,1.89306
01/24/2019,1525387.65099,0.00000,208.75645,0.00000,1.49164,1.49164
01/23/2019,1502965.66435,0.00000,208.75645,0.00000,-0.36222,-0.36222
01/22/2019,1508430.32173,0.00000,208.75645,0.00000,-2.21584,-2.21584
01/18/2019,1542616.80889,0.00000,208.75645,0.00000,1.95603,1.95603
01/17/2019,1513017.59511,0.00000,208.75645,0.00000,0.87290,0.87290
01/16/2019,1499922.95514,0.00000,208.75645,0.00000,0.34173,0.34173
01/15/2019,1494814.07624,0.00000,208.75645,0.00000,0.85311,0.85311
01/14/2019,1482167.75612,0.00000,208.75645,0.00000,-1.89615,-1.89615
01/11/2019,1511027.88239,0.00000,0.00000,0.00000,0.40296,0.40296
01/10/2019,1504963.53388,0.00000,0.00000,0.00000,-1.16893,-1.16893
01/09/2019,1522763.64344,0.00000,0.00000,0.00000,0.75941,0.75941
01/08/2019,1511286.84155,0.00000,0.00000,0.00000,1.07397,1.07397
01/07/2019,1495228.57235,0.00000,0.00000,0.00000,2.19017,2.19017
01/04/2019,1463182.38471,0.00000,0.00000,0.00000,5.72056,5.72056
