Client Name:  Marketocracy Capital Management, LLC
Folio Name:  loosegun:cfcf
Folio Number:  9A1530400H05
Download Date:  11/19/2018

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
11/16/2018,1581794.86388,0.00000,0.00000,0.00000,0.88545,0.88545
11/15/2018,1567911.72227,0.00000,0.00000,0.00000,2.79784,2.79784
11/14/2018,1525237.99674,0.00000,0.00000,0.00000,-2.40715,-2.40715
11/13/2018,1562858.29409,0.00000,0.00000,0.00000,-0.56887,-0.56887
11/12/2018,1571799.85109,0.00000,0.00000,0.00000,-4.17927,-4.17927
11/09/2018,1640354.77272,0.00000,0.00000,0.00000,-3.38939,-3.38939
11/08/2018,1697903.34374,0.00000,0.00000,0.00000,-0.60170,-0.60170
11/07/2018,1708181.43938,0.00000,0.00000,0.00000,1.34026,1.34026
11/06/2018,1685590.12002,0.00000,0.00000,0.00000,0.76248,0.76248
11/05/2018,1672835.09749,0.00000,0.00000,0.00000,-1.76954,-1.76954
11/02/2018,1702969.90615,0.00000,0.00000,0.00000,-0.65295,-0.65295
11/01/2018,1714162.47519,-0.00005,0.00000,0.00000,2.28957,2.28957
10/31/2018,1675586.05813,0.00000,207.90991,0.00000,3.07472,3.07472
10/30/2018,1625597.15734,0.00000,207.90991,0.00000,1.33901,1.33901
10/29/2018,1604115.12168,0.00000,207.90991,0.00000,-0.72943,-0.72943
10/26/2018,1615903.54141,0.00000,207.90991,0.00000,-0.73561,-0.73561
10/25/2018,1627879.92936,0.00000,207.90991,0.00000,3.13966,3.13966
10/24/2018,1578319.45827,0.00000,207.90991,0.00000,-4.79912,-4.79912
10/23/2018,1657893.76786,0.00000,207.90991,0.00000,-1.66752,-1.66752
10/22/2018,1686011.84902,0.00000,207.90991,0.00000,-1.39384,-1.39384
10/19/2018,1709847.25435,0.00000,207.90991,0.00000,-0.69631,-0.69631
10/18/2018,1721837.96036,0.00000,207.90991,0.00000,-1.18870,-1.18870
10/17/2018,1742554.24981,0.00000,207.90991,0.00000,-0.33246,-0.33246
10/16/2018,1748367.60466,0.00000,207.90991,0.00000,3.57822,3.57822
10/15/2018,1687961.26827,0.00000,207.90991,0.00000,-0.23843,-0.23843
10/12/2018,1691996.04451,0.00000,207.90991,0.00000,0.66370,0.66370
10/11/2018,1681046.86411,0.00000,0.00000,0.00000,-2.74066,-2.74066
10/10/2018,1728416.84293,0.00000,0.00000,0.00000,-4.34752,-4.34752
10/09/2018,1806975.49405,0.00000,0.00000,0.00000,-0.53136,-0.53136
10/08/2018,1816628.26258,0.00000,0.00000,0.00000,-1.90709,-1.90709
10/05/2018,1851946.47685,0.00000,0.00000,0.00000,-0.95754,-0.95754
10/04/2018,1869850.95962,0.00000,0.00000,0.00000,-2.12419,-2.12419
10/03/2018,1910432.24374,0.00000,0.00000,0.00000,0.57331,0.57331
10/02/2018,1899541.89893,0.00000,0.00000,0.00000,-0.74981,-0.74981
10/01/2018,1913892.46617,0.00000,0.00000,0.00000,-0.71413,-0.71413
