Client Name:  Marketocracy Capital Management, LLC
Folio Name:  FOLIOfn: adevkota_AMF
Folio Number:  9A1533900101
Download Date:  08/03/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
08/02/2019,2168432.19772,0.00000,0.00000,0.00000,-0.82325,-0.82325
08/01/2019,2186432.09122,0.00000,0.00000,0.00000,-0.24172,-0.24172
07/31/2019,2191729.83160,-0.00048,0.00000,0.00000,-0.88954,-0.88954
07/30/2019,2210959.12833,0.00000,442.04400,0.00000,-0.17754,-0.17754
07/29/2019,2214892.31886,0.00000,442.04400,0.00000,-1.41757,-1.41757
07/26/2019,2246747.81141,0.00000,442.04400,0.00000,1.72043,1.72043
07/25/2019,2208740.41165,0.00000,442.04400,0.00000,-0.88032,-0.88032
07/24/2019,2228361.11507,0.00000,442.04400,0.00000,0.70462,0.70462
07/23/2019,2212766.38480,0.00000,442.04400,0.00000,0.02419,0.02419
07/22/2019,2212231.14551,0.00077,442.04400,0.00000,0.51487,0.51487
07/19/2019,2200897.02472,0.00000,442.04400,0.00000,-0.79898,-0.79898
07/18/2019,2218627.03644,0.00000,442.04400,0.00000,-0.08516,-0.08516
07/17/2019,2220518.31948,0.00000,442.04400,0.00000,0.14465,0.14465
07/16/2019,2217310.42045,0.00000,442.04400,0.00000,-0.54263,-0.54263
07/15/2019,2229410.33297,-0.00027,442.04400,0.00000,0.34052,0.34052
07/12/2019,2221344.99251,0.00025,940.10039,0.00000,0.04069,0.04069
07/11/2019,2220097.92112,0.00000,1283.30728,0.00000,0.17079,0.17079
07/10/2019,2216310.48634,0.00000,1283.30728,0.00000,0.36131,0.36131
07/09/2019,2208327.02174,0.00000,1283.30728,0.00000,0.52718,0.52718
07/08/2019,2196739.39292,-0.00172,1283.30728,0.00000,-0.31101,-0.31101
07/05/2019,2203596.84999,0.00000,1283.30728,0.00000,0.05732,0.05732
07/03/2019,2202333.72649,0.00000,1283.30728,0.00000,2.91103,2.91103
07/02/2019,2140442.28541,0.00000,841.26328,0.00000,0.47974,0.47974
07/01/2019,2130218.82763,-0.00001,841.26328,0.00000,0.90651,0.90651
06/28/2019,2111074.10263,-0.00093,841.26328,0.00000,-1.77068,-1.77068
06/27/2019,2149010.28799,0.00000,974.39570,0.00000,0.84817,0.84817
06/26/2019,2131271.28755,0.00000,631.18881,0.00000,-0.47278,-0.47278
06/25/2019,2141398.35546,0.00000,631.18881,0.00000,-1.46354,-1.46354
06/24/2019,2173213.37713,0.00000,631.18881,0.00000,-0.28657,-0.28657
06/21/2019,2179460.80779,-0.00053,631.18881,0.00000,-1.01308,-1.01308
06/20/2019,2201227.02060,0.00000,1177.09111,0.00000,0.65036,0.65036
06/19/2019,2186996.05614,0.00000,1177.09111,0.00000,1.14956,1.14956
06/18/2019,2162127.47755,0.00000,1177.09111,0.00000,0.57077,0.57077
06/17/2019,2149850.08344,0.00029,1177.09111,0.00000,0.04779,0.04779
06/14/2019,2148429.16871,0.00000,1570.54872,0.00000,-0.50924,-0.50924
06/13/2019,2159433.85756,0.00000,1570.54872,0.00000,-0.04485,-0.04485
06/12/2019,2160616.50438,0.00000,1357.49930,0.00000,0.29151,0.29151
06/11/2019,2154332.45063,0.00000,1357.49930,0.00000,-0.65604,-0.65604
06/10/2019,2168568.00591,0.00000,1357.49930,0.00000,0.10284,0.10284
06/07/2019,2166338.68329,0.00113,1357.49930,0.00000,1.31264,1.31264
06/06/2019,2138671.50132,-0.00181,939.35991,0.00000,0.40848,0.40848
06/05/2019,2130513.04852,0.00000,393.45761,0.00000,1.11187,1.11187
06/04/2019,2107080.74541,0.00000,393.45761,0.00000,1.73827,1.73827
06/03/2019,2071073.05189,0.00119,393.45761,0.00000,-0.92680,-0.92680
05/31/2019,2090450.95850,0.00000,393.45761,0.00000,-0.14567,-0.14567
05/30/2019,2093894.51722,0.00000,0.00000,0.00000,0.15711,0.15711
05/29/2019,2090609.87326,0.00000,0.00000,0.00000,-0.34276,-0.34276
05/28/2019,2097800.35929,0.00000,0.00000,0.00000,-0.12209,-0.12209
05/24/2019,2100364.71706,-0.00297,0.00000,0.00000,0.39910,0.39910
05/23/2019,2091606.38634,0.00000,409.03252,0.00000,-1.11240,-1.11240
05/22/2019,2115139.84303,0.00000,409.03252,0.00000,0.26885,0.26885
05/21/2019,2109467.42308,-0.00064,409.03252,0.00000,0.67566,0.67566
05/20/2019,2095307.56696,0.00000,409.03252,0.00000,-0.75741,-0.75741
05/17/2019,2111301.87987,-0.00186,409.03252,0.00000,-0.94512,-0.94512
05/16/2019,2131289.81753,0.00000,569.72929,0.00000,1.34060,1.34060
05/15/2019,2103088.19350,0.00000,569.72929,0.00000,1.08757,1.08757
05/14/2019,2080455.58451,0.00000,569.72929,0.00000,1.42038,1.42038
05/13/2019,2051311.12378,-0.00085,569.72929,0.00000,-2.99413,-2.99413
05/10/2019,2114643.41751,0.00002,569.72929,0.00000,0.39576,0.39576
05/09/2019,2106305.27832,-0.00020,569.72929,0.00000,-0.06221,-0.06221
05/08/2019,2107520.25690,0.00000,666.28596,0.00000,-0.03214,-0.03214
05/07/2019,2108198.07109,0.00000,666.28596,0.00000,-1.92950,-1.92950
05/06/2019,2149849.81222,0.00000,505.58919,0.00000,-0.58157,-0.58157
05/03/2019,2162428.81006,0.00221,505.58919,0.00000,0.77766,0.77766
05/02/2019,2146147.39412,0.00126,96.55667,0.00000,-0.08848,-0.08848
05/01/2019,2148048.08281,0.00000,96.55667,0.00000,-1.19647,-1.19647
