Client Name:  Marketocracy Capital Management, LLC
Folio Name:  FOLIOfn: adevkota_AMF
Folio Number:  9A1533900101
Download Date:  03/26/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
03/25/2020,1794581.01072,0.00000,0.00000,0.00000,0.06511,0.06511
03/24/2020,1793413.29236,0.00000,0.00000,0.00000,2.35782,2.35782
03/23/2020,1752101.95619,0.00000,0.00000,0.00000,-1.00702,-1.00702
03/20/2020,1769925.47348,0.00241,0.00000,0.00000,-0.98216,-0.98216
03/19/2020,1787116.57406,0.00000,364.81759,0.00000,0.12469,0.12469
03/18/2020,1784890.45297,-0.00031,364.81759,0.00000,-4.67886,-4.67886
03/17/2020,1872520.04679,-0.00145,364.81759,0.00000,3.16884,3.16884
03/16/2020,1814994.16719,0.00000,364.81759,0.00000,-8.79437,-8.79437
03/13/2020,1990037.47826,0.00000,364.81759,0.00000,4.91180,4.91180
03/12/2020,1896850.15349,-0.00005,364.81759,0.00000,-7.24362,-7.24362
03/11/2020,2044858.90643,0.00005,515.09144,0.00000,-3.12862,-3.12862
03/10/2020,2110619.10247,-0.00067,813.59416,0.00000,2.88742,2.88742
03/09/2020,2051124.28276,0.00000,1053.41271,0.00000,-4.52756,-4.52756
03/06/2020,2148444.01606,0.00002,1053.41271,0.00000,-1.55018,-1.55018
03/05/2020,2181941.93640,0.00000,1401.19769,0.00000,-1.68237,-1.68237
03/04/2020,2219608.76920,-0.00149,1094.73814,0.00000,3.13191,3.13191
03/03/2020,2151980.48616,-0.00014,1284.60181,0.00000,-2.03703,-2.03703
03/02/2020,2196553.19962,0.00163,1486.72631,0.00000,2.93435,2.93435
02/28/2020,2133893.58908,0.00390,1486.72631,0.00000,-0.34034,-0.34034
02/27/2020,2140896.15277,-0.00390,1776.63482,0.00000,-3.34813,-3.34813
02/26/2020,2215179.20301,0.00000,1718.27678,0.00000,-0.36035,-0.36035
02/25/2020,2223196.78841,0.00000,1718.27678,0.00000,-3.01551,-3.01551
02/24/2020,2292723.15371,0.00000,1370.49180,0.00000,-3.06448,-3.06448
02/21/2020,2365247.73504,308.32992,1370.49180,0.00000,-1.53953,-1.53953
