Client Name:  Marketocracy Capital Management, LLC
Folio Name:  adevkota_LTG
Folio Number:  9A1533900102
Download Date:  02/06/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
02/05/2019,1003104.47327,0.00000,0.00000,0.00000,-0.12654,-0.12654
02/04/2019,1004375.37424,0.00000,0.00000,0.00000,0.28378,0.28378
02/01/2019,1001533.19247,0.00000,0.00000,0.00000,0.47727,0.47727
01/31/2019,996775.87017,0.00000,0.00000,0.00000,0.63667,0.63667
01/30/2019,990324.29786,0.00000,145.57392,0.00000,0.86828,0.86828
01/29/2019,981798.26586,0.00000,145.57392,0.00000,-0.02896,-0.02896
01/28/2019,982082.68463,0.00000,145.57392,0.00000,-0.56714,-0.56714
01/25/2019,987685.03331,0.00000,145.57392,0.00000,0.20113,0.20113
01/24/2019,985702.20876,0.00000,145.57392,0.00000,-0.08661,-0.08661
01/23/2019,986556.83347,-0.00216,145.57392,0.00000,0.33581,0.33581
01/22/2019,983100.49123,0.00000,299.53981,0.00000,-0.67233,-0.67233
01/18/2019,989756.91578,0.00000,299.53981,0.00000,0.84899,0.84899
01/17/2019,981422.18794,0.00000,299.53981,0.00000,0.32066,0.32066
01/16/2019,978284.24480,0.00000,299.53981,0.00000,0.01980,0.01980
01/15/2019,978090.52323,0.00000,299.53981,0.00000,0.75084,0.75084
01/14/2019,970799.08646,0.00536,299.53981,0.00000,-0.66753,-0.66753
01/11/2019,977325.00783,0.00062,299.53981,0.00000,-0.01682,-0.01682
01/10/2019,977489.43984,-0.00030,299.53981,0.00000,0.14166,0.14166
01/09/2019,975937.93535,0.00000,467.88283,0.00000,0.44409,0.44409
01/08/2019,971620.94179,0.00000,467.88283,0.00000,0.61890,0.61890
01/07/2019,965641.66557,0.00000,467.88283,0.00000,0.62285,0.62285
01/04/2019,959661.51029,0.00000,467.88283,0.00000,2.48560,2.48560
