Client Name:  Marketocracy Capital Management, LLC
Folio Name:  adevkota_LTG
Folio Number:  9A1533900102
Download Date:  09/03/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
08/30/2019,1081661.09060,0.00000,0.00000,0.00000,-0.74109,-0.74109
08/29/2019,1089737.06006,0.00000,0.00000,0.00000,0.93601,0.93601
08/28/2019,1079631.55823,0.00000,0.00000,0.00000,0.39910,0.39910
08/27/2019,1075339.84569,0.00000,0.00000,0.00000,-0.10142,-0.10142
08/26/2019,1076431.58981,0.00000,0.00000,0.00000,0.82868,0.82868
08/23/2019,1067584.69044,0.00000,0.00000,0.00000,-1.22784,-1.22784
08/22/2019,1080855.85653,0.00000,0.00000,0.00000,-0.00363,-0.00363
08/21/2019,1080895.14147,0.00000,0.00000,0.00000,0.29358,0.29358
08/20/2019,1077731.09983,0.00000,0.00000,0.00000,-0.51014,-0.51014
08/19/2019,1083257.21549,0.00000,0.00000,0.00000,0.42557,0.42557
08/16/2019,1078666.76910,0.00000,0.00000,0.00000,0.73706,0.73706
08/15/2019,1070774.52944,-0.00033,0.00000,0.00000,0.57596,0.57596
08/14/2019,1064376.79897,-0.00099,265.83468,0.00000,-1.74655,-1.74655
08/13/2019,1083301.86848,0.00399,265.83468,0.00000,0.70474,0.70474
08/12/2019,1075718.94175,0.00000,265.83468,0.00000,-1.01907,-1.01907
08/09/2019,1086796.82852,0.00000,265.83468,0.00000,-0.37968,-0.37968
08/08/2019,1090939.87984,0.00000,265.83468,0.00000,1.38468,1.38468
08/07/2019,1076036.49831,0.00000,265.83468,0.00000,0.53134,0.53134
08/06/2019,1070347.91935,0.00000,265.83468,0.00000,0.91736,0.91736
08/05/2019,1060615.83253,-0.00291,265.83468,0.00000,-2.23380,-2.23380
08/02/2019,1084855.28373,0.00000,265.83468,0.00000,-0.55446,-0.55446
08/01/2019,1090905.42424,0.00000,265.83468,0.00000,-0.58178,-0.58178
07/31/2019,1097290.79290,-0.00127,265.83468,0.00000,-0.98821,-0.98821
07/30/2019,1107286.75643,0.00000,1224.29518,0.00000,-0.44640,-0.44640
