Client Name:  Marketocracy Capital Management, LLC
Folio Name:  FOLIOfn: gordenlam_GDF
Folio Number:  9A1534000X01
Download Date:  06/11/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
06/10/2019,1146530.33453,-0.00054,0.00000,0.00000,0.43465,0.43465
06/07/2019,1141568.56118,0.00123,0.00000,0.00000,0.84732,0.84732
06/06/2019,1131910.58166,0.00019,66.55804,0.00000,0.27320,0.27320
06/05/2019,1128540.86965,0.00000,352.10126,0.00000,0.38296,0.38296
06/04/2019,1124234.20612,0.00000,352.10126,0.00000,1.32720,1.32720
06/03/2019,1109504.15037,-0.00016,352.10126,0.00000,0.18343,0.18343
05/31/2019,1106859.87387,0.00000,964.31219,0.00000,-0.72218,-0.72218
05/30/2019,1114918.51264,0.00000,964.31219,0.00000,0.28965,0.28965
05/29/2019,1111695.65361,0.00000,964.31219,0.00000,-0.47313,-0.47313
05/28/2019,1116985.04825,547.75640,964.31219,0.00000,-0.53059,-0.53059
05/24/2019,1122399.23313,0.00000,964.31219,0.00000,0.03749,0.03749
05/23/2019,1121978.20361,0.00000,964.31219,0.00000,-0.64479,-0.64479
05/22/2019,1129265.85154,0.00000,964.31219,0.00000,-0.93140,-0.93140
05/21/2019,1139891.74207,0.00000,964.31219,0.00000,0.54143,0.54143
05/20/2019,1133748.08778,0.00001,964.31219,0.00000,-0.52554,-0.52554
05/17/2019,1139671.68672,-547.75327,1035.61296,0.00000,-0.36645,-0.36645
05/16/2019,1144415.94916,0.00027,1035.61296,0.00000,0.46142,0.46142
05/15/2019,1139100.04221,1613.85397,1090.40529,0.00000,0.12122,0.12122
05/14/2019,1136392.26662,-0.00210,804.86207,0.00000,0.46319,0.46319
05/13/2019,1131649.44543,0.00000,304.59507,0.00000,-1.47446,-1.47446
05/10/2019,1148589.39789,0.00000,304.59507,0.00000,1.04877,1.04877
