Client Name:  Marketocracy Capital Management, LLC
Folio Name:  FOLIOfn: gordenlam_GDF
Folio Number:  9A1534000X01
Download Date:  07/06/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
07/02/2020,1071455.31854,0.00126,0.00000,0.00000,0.43667,0.43667
07/01/2020,1065628.51128,-0.00002,1168.45868,0.00000,-0.31182,-0.31182
06/30/2020,1068815.94434,-0.00154,1317.86786,0.00000,0.84089,0.84089
06/29/2020,1059241.10376,-0.00015,1969.14323,0.00000,1.81190,1.81190
06/26/2020,1040259.01454,-0.00163,2065.33025,0.00000,-2.18945,-2.18945
06/25/2020,1063569.58759,-0.00036,2086.77655,0.00000,0.92722,0.92722
06/24/2020,1053678.09351,-0.00002,2188.08367,0.00000,-2.38764,-2.38764
06/23/2020,1079505.00456,0.00000,2188.08367,0.00000,0.19334,0.19334
06/22/2020,1077417.72372,0.00000,2188.08367,0.00000,0.65763,0.65763
06/19/2020,1070364.34401,0.00000,2188.08367,0.00000,-0.90683,-0.90683
06/18/2020,1080830.89804,0.00010,1536.80830,0.00000,-0.13090,-0.13090
06/17/2020,1082249.62736,0.00000,1536.80830,0.00000,-0.83468,-0.83468
06/16/2020,1091371.89606,0.00000,1536.80830,0.00000,1.56516,1.56516
06/15/2020,1074529.73655,0.00000,1536.80830,0.00000,0.50884,0.50884
06/12/2020,1069081.99729,0.00000,1536.80830,0.00000,1.75297,1.75297
06/11/2020,1051955.58903,0.00042,218.94044,0.00000,-5.84384,-5.84384
06/10/2020,1117196.43030,-0.00192,281.69906,0.00000,-2.31718,-2.31718
06/09/2020,1141938.18916,0.00000,2048.13274,0.00000,-1.64306,-1.64306
06/08/2020,1161048.51396,0.00000,2048.13274,0.00000,2.83565,2.83565
06/05/2020,1128976.64632,0.00034,2048.13274,0.00000,2.78984,2.78984
06/04/2020,1098279.22947,-0.00002,2048.13274,0.00000,0.55430,0.55430
06/03/2020,1092235.15255,-0.00039,2026.68644,0.00000,1.92665,1.92665
06/02/2020,1071652.36256,0.00000,1925.37932,0.00000,0.70930,0.70930
06/01/2020,1064091.06929,0.00004,1925.37932,0.00000,-0.06942,-0.06942
