Client Name:  Marketocracy Capital Management, LLC
Folio Name:  FOLIOfn: gordenlam_GVF
Folio Number:  9A1534000X02
Download Date:  01/14/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
01/13/2020,4521816.75030,0.00000,0.00000,0.00000,2.13672,2.13672
01/10/2020,4427219.39672,0.00000,0.00000,0.00000,-0.10829,-0.10829
01/09/2020,4432019.03567,0.00045,0.00000,0.00000,0.69665,0.69665
01/08/2020,4401357.11191,0.00000,0.00000,0.00000,1.11339,1.11339
01/07/2020,4352892.28856,0.00000,0.00000,0.00000,0.70981,0.70981
01/06/2020,4322212.67465,0.00000,0.00000,0.00000,1.17940,1.17940
01/03/2020,4271830.70923,0.00000,0.00000,0.00000,-0.37486,-0.37486
01/02/2020,4287904.27000,0.00000,0.00000,0.00000,2.43630,2.43630
12/31/2019,4185922.55563,0.00127,0.00000,0.00000,0.47064,0.47064
12/30/2019,4165735.15488,0.00000,578.99475,0.00000,-1.74056,-1.74056
12/27/2019,4239537.05392,0.00000,578.99475,0.00000,-0.35027,-0.35027
12/26/2019,4254441.15970,0.00000,578.99475,0.00000,0.77771,0.77771
12/24/2019,4221604.66539,0.00000,578.99475,0.00000,0.56804,0.56804
12/23/2019,4197756.57045,-0.00043,578.99475,0.00000,0.64131,0.64131
12/20/2019,4171003.58744,0.00075,578.99475,0.00000,0.30588,0.30588
12/19/2019,4158654.80435,0.00000,206.85322,0.00000,0.92075,0.92075
12/18/2019,4120711.31012,0.00000,206.85322,0.00000,0.71135,0.71135
12/17/2019,4091604.39434,0.00000,206.85322,0.00000,-0.13977,-0.13977
12/16/2019,4097331.66747,0.00000,206.85322,0.00000,1.59827,1.59827
12/13/2019,4032872.16909,0.00000,206.85322,0.00000,-0.13218,-0.13218
