Client Name:  Marketocracy Capital Management, LLC
Folio Name:  FOLIOfn: gordenlam_GVF
Folio Number:  9A1534000X02
Download Date:  10/02/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
10/01/2019,3547228.70552,-0.00726,0.00000,0.00000,-0.02050,-0.02050
09/30/2019,3547956.08175,0.00000,0.00000,0.00000,0.81819,0.81819
09/27/2019,3519162.76543,0.00000,0.00000,0.00000,-1.68004,-1.68004
09/26/2019,3579296.38127,-0.00006,0.00000,0.00000,0.19902,0.19902
09/25/2019,3572186.84574,0.00000,0.00000,0.00000,1.45571,1.45571
09/24/2019,3520932.24360,0.00000,0.00000,0.00000,-2.27884,-2.27884
09/23/2019,3603039.63165,0.00000,0.00000,0.00000,-0.42758,-0.42758
09/20/2019,3618511.84014,-0.00016,0.00000,0.00000,-1.25280,-1.25280
09/19/2019,3664213.21143,0.00000,206.66174,0.00000,0.23354,0.23354
09/18/2019,3655675.35003,0.00000,206.66174,0.00000,-0.70731,-0.70731
09/17/2019,3681718.02186,0.00000,206.66174,0.00000,0.32058,0.32058
09/16/2019,3669952.38912,0.00000,206.66174,0.00000,-0.23093,-0.23093
09/13/2019,3678447.45795,0.00000,206.66174,0.00000,-0.44174,-0.44174
09/12/2019,3694769.56113,-0.00043,206.66174,0.00000,0.40240,0.40240
09/11/2019,3679809.09578,0.00000,358.14733,0.00000,0.90835,0.90835
09/10/2019,3646681.35068,0.00020,358.14733,0.00000,-0.93574,-0.93574
09/09/2019,3681130.57591,0.00000,358.14733,0.00000,-0.69881,-0.69881
09/06/2019,3707038.06943,0.00000,358.14733,0.00000,-0.57779,-0.57779
09/05/2019,3728583.63007,0.00000,358.14733,0.00000,1.56404,1.56404
09/04/2019,3671159.77270,0.00000,358.14733,0.00000,1.04079,1.04079
09/03/2019,3633340.76922,0.00004,358.14733,0.00000,-0.50814,-0.50814
08/30/2019,3650259.89130,0.00000,1997.72103,0.00000,0.00980,0.00980
