Client Name:  Marketocracy Capital Management, LLC
Folio Name:  FOLIOfn: gordenlam_GVF
Folio Number:  9A1534000X02
Download Date:  07/06/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
07/02/2020,5690902.04366,0.00567,0.00000,0.00000,1.38690,1.38690
07/01/2020,5613054.79812,0.00197,0.00000,0.00000,3.23760,3.23760
06/30/2020,5437025.76570,0.00000,0.00000,0.00000,2.47109,2.47109
06/29/2020,5305911.79161,0.00000,0.00000,0.00000,0.83400,0.83400
06/26/2020,5262026.50587,0.00148,0.00000,0.00000,-2.19538,-2.19538
06/25/2020,5380002.54770,0.00000,138.41114,0.00000,1.93854,1.93854
06/24/2020,5277689.84426,0.00011,138.41114,0.00000,-2.74111,-2.74111
06/23/2020,5426438.01894,0.00000,138.41114,0.00000,0.22011,0.22011
06/22/2020,5414519.77062,0.00000,138.41114,0.00000,1.96011,1.96011
06/19/2020,5310426.67981,0.00000,138.41114,0.00000,-0.04546,-0.04546
06/18/2020,5312841.92487,0.00000,138.41114,0.00000,1.37888,1.37888
06/17/2020,5240578.74135,0.00000,138.41114,0.00000,0.67675,0.67675
06/16/2020,5205350.74018,0.00000,138.41114,0.00000,1.07769,1.07769
06/15/2020,5149849.95731,0.00024,138.41114,0.00000,3.25322,3.25322
06/12/2020,4987477.86844,0.00000,248.62985,0.00000,1.39344,1.39344
06/11/2020,4918932.17517,0.00000,248.62985,0.00000,-5.07678,-5.07678
06/10/2020,5182024.75554,0.00000,248.62985,0.00000,1.77936,1.77936
06/09/2020,5091425.76628,0.00000,248.62985,0.00000,0.28789,0.28789
06/08/2020,5076809.18719,0.00099,248.62985,0.00000,1.78642,1.78642
06/05/2020,4987703.26224,0.00000,248.62985,0.00000,1.18850,1.18850
06/04/2020,4929117.76958,0.00000,248.62985,0.00000,-2.00956,-2.00956
06/03/2020,5030346.12966,-0.00049,110.21871,0.00000,0.28559,0.28559
06/02/2020,5016020.60232,0.00000,110.21871,0.00000,0.32305,0.32305
06/01/2020,4999868.36389,0.00000,110.21871,0.00000,2.45995,2.45995
