Client Name:  Marketocracy Capital Management, LLC
Folio Name:  FOLIOfn: johnarcher_TAB
Folio Number:  9A1534100P01
Download Date:  02/27/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
02/26/2020,1772553.65838,0.00000,0.00000,0.00000,-0.28375,-0.28375
02/25/2020,1777597.55874,0.00000,0.00000,0.00000,-2.94346,-2.94346
02/24/2020,1831507.30588,0.00000,0.00000,0.00000,-3.45845,-3.45845
02/21/2020,1897118.22424,-0.00021,0.00000,0.00000,-1.24522,-1.24522
02/20/2020,1920871.31212,0.00000,168.12366,0.00000,-0.37309,-0.37309
02/19/2020,1928065.29742,0.00000,168.12366,0.00000,0.67847,0.67847
02/18/2020,1915070.93468,0.00000,168.12366,0.00000,-0.14187,-0.14187
02/14/2020,1917791.94986,0.00000,168.12366,0.00000,0.55624,0.55624
02/13/2020,1907182.56397,-0.00048,168.12366,0.00000,0.12659,0.12659
02/12/2020,1904319.99272,0.00000,619.23537,0.00000,0.93771,0.93771
02/11/2020,1886623.17054,0.00000,619.23537,0.00000,-0.09634,-0.09634
02/10/2020,1888443.08951,0.00000,619.23537,0.00000,0.50407,0.50407
02/07/2020,1878968.66351,0.00148,619.23537,0.00000,-0.62333,-0.62333
02/06/2020,1890873.21513,0.00000,504.25856,0.00000,0.45404,0.45404
02/05/2020,1882324.39719,0.00000,504.25856,0.00000,0.51123,0.51123
02/04/2020,1872915.87582,0.00000,336.13490,0.00000,1.25148,1.25148
02/03/2020,1849762.23774,0.00000,336.13490,0.00000,1.12944,1.12944
01/31/2020,1829099.89993,0.00000,336.13490,0.00000,-1.94797,-1.94797
01/30/2020,1865444.66168,0.00000,336.13490,0.00000,-0.08057,-0.08057
01/29/2020,1866949.07028,0.00000,336.13490,0.00000,0.35326,0.35326
01/28/2020,1860375.97470,0.00000,336.13490,0.00000,0.96532,0.96532
01/27/2020,1842585.91712,0.00000,336.13490,0.00000,-1.92956,-1.92956
01/24/2020,1878845.94638,0.00000,336.13490,0.00000,-1.00663,-1.00663
