Client Name:  Marketocracy Capital Management, LLC
Folio Name:  FOLIOfn: npile_NMF
Folio Number:  9A1534200H01
Download Date:  04/16/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
04/15/2019,12427789.86313,0.00008,0.00000,0.00000,-0.18395,-0.18395
04/12/2019,12450692.96052,0.00000,0.00000,0.00000,-1.34347,-1.34347
04/11/2019,12620242.37689,-0.00003,0.00000,0.00000,-0.70930,-0.70930
04/10/2019,12708384.05208,0.00000,2013.72894,0.00000,1.46653,1.46653
04/09/2019,12524676.42179,0.00000,2013.72894,0.00000,-0.24126,-0.24126
04/08/2019,12554970.98312,0.00072,2013.72894,0.00000,0.60594,0.60594
04/05/2019,12479341.71545,0.00046,2013.72894,0.00000,0.82954,0.82954
04/04/2019,12376295.25387,0.00000,2374.51415,0.00000,0.21175,0.21175
04/03/2019,12350138.80023,0.00000,2374.51415,0.00000,0.35719,0.35719
04/02/2019,12306173.81519,0.00000,2374.51415,0.00000,-0.82999,-0.82999
04/01/2019,12409188.67386,0.00000,2374.51415,0.00000,-0.11083,-0.11083
03/29/2019,12422959.73968,-0.00181,2374.51415,0.00000,0.84780,0.84780
03/28/2019,12313055.47924,0.00000,7822.40035,0.00000,0.14735,0.14735
03/27/2019,12294927.78777,0.00000,7822.40035,0.00000,-1.59584,-1.59584
03/26/2019,12494443.78912,0.00000,7822.40035,0.00000,0.30336,0.30336
03/25/2019,12456631.80869,0.00000,7822.40035,0.00000,-1.50579,-1.50579
03/22/2019,12647189.43411,0.00008,7822.40035,0.00000,-2.20422,-2.20422
03/21/2019,12931803.85230,0.00000,8439.33702,0.00000,0.62789,0.62789
03/20/2019,12851060.62776,0.00000,8439.33702,0.00000,-0.71175,-0.71175
03/19/2019,12945258.16764,-0.00031,6425.60808,0.00000,1.25481,1.25481
03/18/2019,12784011.24784,0.00000,7167.70769,0.00000,-0.37102,-0.37102
03/15/2019,12831645.69051,0.00000,7167.70769,0.00000,1.63026,1.63026
