Client Name:  Marketocracy Capital Management, LLC
Folio Name:  FOLIOfn: npile_NMF
Folio Number:  9A1534200H01
Download Date:  07/06/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
07/02/2020,15549566.21420,0.00000,0.00000,0.00000,1.89698,1.89698
07/01/2020,15260086.04152,0.00000,0.00000,0.00000,-0.43778,-0.43778
06/30/2020,15327185.52319,0.00000,0.00000,0.00000,2.72125,2.72125
06/29/2020,14921143.53769,0.00000,0.00000,0.00000,1.87040,1.87040
06/26/2020,14647182.60305,-0.00390,0.00000,0.00000,-2.31087,-2.31087
06/25/2020,14993282.95169,0.00000,383.24839,0.00000,0.12717,0.12717
06/24/2020,14974239.33875,0.00000,383.24839,0.00000,-4.43545,-4.43545
06/23/2020,15669258.84666,0.00000,383.24839,0.00000,-0.89175,-0.89175
06/22/2020,15810250.83708,0.00005,383.24839,0.00000,4.49163,4.49163
06/19/2020,15130621.56894,0.00000,383.24839,0.00000,0.44583,0.44583
06/18/2020,15063462.24543,0.00000,383.24839,0.00000,0.13903,0.13903
06/17/2020,15042548.77639,0.00000,383.24839,0.00000,2.23037,2.23037
06/16/2020,14714355.99604,0.00000,383.24839,0.00000,1.64693,1.64693
06/15/2020,14475940.50964,0.00000,383.24839,0.00000,4.25182,4.25182
06/12/2020,13885536.66209,0.00000,383.24839,0.00000,2.15650,2.15650
06/11/2020,13592408.30365,0.00045,383.24839,0.00000,-5.13205,-5.13205
06/10/2020,14327084.43183,0.00000,1032.56862,0.00000,0.27739,0.27739
06/09/2020,14287449.13085,0.00000,1032.56862,0.00000,-0.54266,-0.54266
06/08/2020,14365409.75766,0.00000,1032.56862,0.00000,2.70380,2.70380
06/05/2020,13987196.45669,0.00000,1032.56862,0.00000,1.22688,1.22688
06/04/2020,13817657.61250,-0.00001,1032.56862,0.00000,0.09881,0.09881
06/03/2020,13804399.54842,0.00000,649.32023,0.00000,-1.71261,-1.71261
06/02/2020,14044945.76501,0.00000,649.32023,0.00000,0.28170,0.28170
06/01/2020,14005490.03374,0.00000,649.32023,0.00000,-0.08794,-0.08794
