Client Name:  Marketocracy Capital Management, LLC
Folio Name:  FOLIOfn: crossy_CIAF
Folio Number:  9A1535500P01
Download Date:  02/18/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
02/14/2020,9841607.76011,0.00000,0.00000,0.00000,1.31055,1.31055
02/13/2020,9714296.97423,0.00000,0.00000,0.00000,-0.19956,-0.19956
02/12/2020,9733721.98668,0.00000,0.00000,0.00000,0.96692,0.96692
02/11/2020,9640505.63040,0.00000,0.00000,0.00000,1.76288,1.76288
02/10/2020,9473498.91898,0.00000,0.00000,0.00000,0.79093,0.79093
02/07/2020,9399158.42448,0.00000,0.00000,0.00000,-0.81299,-0.81299
02/06/2020,9476199.11958,0.00000,0.00000,0.00000,-0.32422,-0.32422
02/05/2020,9507022.35016,0.00000,0.00000,0.00000,0.98608,0.98608
02/04/2020,9414190.81371,0.00000,0.00000,0.00000,2.30108,2.30108
02/03/2020,9202435.13703,0.00000,0.00000,0.00000,1.05642,1.05642
01/31/2020,9106235.14945,0.00000,0.00000,0.00000,-3.05738,-3.05738
01/30/2020,9393428.26565,0.00000,0.00000,0.00000,-0.21225,-0.21225
01/29/2020,9413407.91164,0.00000,0.00000,0.00000,-2.24595,-2.24595
01/28/2020,9629685.82637,0.00000,0.00000,0.00000,1.15343,1.15343
01/27/2020,9519880.53325,0.00000,0.00000,0.00000,-2.33491,-2.33491
01/24/2020,9747475.68688,0.00000,0.00000,0.00000,-1.90673,-1.90673
01/23/2020,9936946.75388,0.00000,0.00000,0.00000,0.16382,0.16382
01/22/2020,9920694.51689,0.00000,0.00000,0.00000,-0.40326,-0.40326
01/21/2020,9960862.49101,0.00000,0.00000,0.00000,-0.67312,-0.67312
01/17/2020,10028365.26620,0.00000,0.00000,0.00000,0.08964,0.08964
01/16/2020,10019383.50072,0.00000,0.00000,0.00000,1.93778,1.93778
01/15/2020,9828920.66263,0.00000,0.00000,0.00000,0.09198,0.09198
01/14/2020,9819888.12975,0.00000,0.00000,0.00000,0.78222,0.78222
