Client Name:  Marketocracy Capital Management, LLC
Folio Name:  FOLIOfn: crossy_CIAF
Folio Number:  9A1535500P01
Download Date:  07/06/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
07/02/2020,8658568.17827,0.00000,0.00000,0.00000,1.21129,1.21129
07/01/2020,8554943.34612,0.00000,0.00000,0.00000,-1.10401,-1.10401
06/30/2020,8650445.18170,-0.00001,0.00000,0.00000,2.43205,2.43205
06/29/2020,8442043.20058,0.00000,3013.66214,0.00000,1.48214,1.48214
06/26/2020,8318703.75919,0.00000,3013.66214,0.00000,-2.44516,-2.44516
06/25/2020,8527283.58451,0.00000,3013.66214,0.00000,1.14639,1.14639
06/24/2020,8430601.25952,0.00000,3013.66214,0.00000,-2.56571,-2.56571
06/23/2020,8652681.32546,0.00000,3013.66214,0.00000,-0.54558,-0.54558
06/22/2020,8700164.41507,0.00034,3013.66214,0.00000,0.93458,0.93458
06/19/2020,8618332.72675,0.00000,4260.70235,0.00000,-0.53253,-0.53253
06/18/2020,8664496.35986,0.00000,4260.70235,0.00000,-1.07706,-1.07706
06/17/2020,8758880.96398,0.00000,4260.70235,0.00000,-1.04564,-1.04564
06/16/2020,8851480.13004,0.00000,4260.70235,0.00000,0.86403,0.86403
06/15/2020,8775619.67207,0.00000,4260.70235,0.00000,1.97238,1.97238
06/12/2020,8608810.46869,0.00000,1247.04021,0.00000,1.82840,1.82840
06/11/2020,8454210.53034,0.00000,1247.04021,0.00000,-8.67050,-8.67050
06/10/2020,9256941.49804,0.00000,1247.04021,0.00000,-1.32227,-1.32227
06/09/2020,9380999.94687,0.00000,1247.04021,0.00000,-0.06708,-0.06708
06/08/2020,9387297.43587,0.00000,1247.04021,0.00000,1.99811,1.99811
06/05/2020,9203378.94538,0.00000,1247.04021,0.00000,3.33811,3.33811
06/04/2020,8907290.72127,0.00000,0.00000,0.00000,0.83798,0.83798
06/03/2020,8833269.41647,0.00000,0.00000,0.00000,1.49156,1.49156
06/02/2020,8703452.59978,0.00000,0.00000,0.00000,0.76668,0.76668
06/01/2020,8637233.00564,0.00000,0.00000,0.00000,0.67924,0.67924
