Client Name:  Marketocracy Capital Management, LLC
Folio Name:  crossy_CDSF
Folio Number:  9A1535500P02
Download Date:  04/16/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
04/15/2019,5112387.58135,0.00000,0.00000,0.00000,-0.02844,-0.02844
04/12/2019,5113841.96100,0.00000,0.00000,0.00000,0.36935,0.36935
04/11/2019,5095023.49040,0.00000,0.00000,0.00000,-0.52874,-0.52874
04/10/2019,5122106.04620,0.00000,0.00000,0.00000,2.01907,2.01907
04/09/2019,5020733.97868,0.00000,0.00000,0.00000,-0.12407,-0.12407
04/08/2019,5026970.89392,0.00000,0.00000,0.00000,-0.14796,-0.14796
04/05/2019,5034419.90031,0.00001,0.00000,0.00000,1.11918,1.11918
04/04/2019,4978064.40317,0.00000,634.84026,0.00000,-0.97968,-0.97968
04/03/2019,5027322.24158,0.00000,634.84026,0.00000,1.21129,1.21129
04/02/2019,4967148.16455,0.00000,634.84026,0.00000,0.59676,0.59676
04/01/2019,4937678.08127,0.00000,634.84026,0.00000,0.74602,0.74602
03/29/2019,4901109.97750,0.00000,634.84026,0.00000,1.08275,1.08275
03/28/2019,4848604.94535,0.00000,634.84026,0.00000,0.45960,0.45960
03/27/2019,4827054.82476,-0.00027,0.00000,0.00000,-0.60121,-0.60121
03/26/2019,4851641.06826,0.00000,4609.79466,0.00000,0.29664,0.29664
03/25/2019,4837277.90295,0.00000,4609.79466,0.00000,-0.24479,-0.24479
03/22/2019,4849159.40433,0.00000,4609.79466,0.00000,-2.53081,-2.53081
03/21/2019,4975188.87495,0.00000,4609.79466,0.00000,0.99680,0.99680
03/20/2019,4926040.27650,-0.00003,4609.79466,0.00000,-0.43420,-0.43420
03/19/2019,4947532.93594,0.00000,4619.54289,0.00000,-0.30802,-0.30802
03/18/2019,4966493.83591,0.00000,959.24620,0.00000,-0.24297,-0.24297
03/15/2019,4978592.49110,0.00000,959.24620,0.00000,0.75676,0.75676
