Client Name:  Marketocracy Capital Management, LLC
Folio Name:  crossy_CEOF
Folio Number:  9A1535500P03
Download Date:  06/11/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
06/10/2019,3178154.85502,0.00000,0.00000,0.00000,-1.09983,-1.09983
06/07/2019,3213497.93304,0.00000,0.00000,0.00000,1.46115,1.46115
06/06/2019,3167220.04467,0.00000,0.00000,0.00000,-0.30562,-0.30562
06/05/2019,3176929.40684,0.00000,0.00000,0.00000,-1.88221,-1.88221
06/04/2019,3237872.82719,0.00000,0.00000,0.00000,2.31386,2.31386
06/03/2019,3164647.32746,0.00000,0.00000,0.00000,0.46143,0.46143
05/31/2019,3150111.83302,0.00003,0.00000,0.00000,-1.64041,-1.64041
05/30/2019,3201004.72669,0.00000,1643.74626,0.00000,-0.28184,-0.28184
05/29/2019,3210056.52614,0.00000,1643.74626,0.00000,0.08878,0.08878
05/28/2019,3207207.67628,0.00000,1643.74626,0.00000,-0.52801,-0.52801
05/24/2019,3224240.80336,0.00000,1643.74626,0.00000,0.80169,0.80169
05/23/2019,3198584.76865,0.00000,1643.74626,0.00000,-2.10653,-2.10653
05/22/2019,3267449.20379,0.00000,1643.74626,0.00000,-1.56234,-1.56234
05/21/2019,3319334.32120,0.00000,1643.74626,0.00000,0.57948,0.57948
05/20/2019,3300200.71800,0.00000,1643.74626,0.00000,-0.82635,-0.82635
05/17/2019,3327712.98804,0.00000,1643.74626,0.00000,-1.51393,-1.51393
05/16/2019,3378891.92952,0.00000,1643.74626,0.00000,1.09514,1.09514
05/15/2019,3342271.47980,458.77328,1643.74626,0.00000,0.12061,0.12061
05/14/2019,3335476.71592,0.00000,3951.67723,0.00000,3.17765,3.17765
05/13/2019,3234273.11185,0.00000,2307.93097,0.00000,-3.59403,-3.59403
05/10/2019,3354933.50493,6672.07864,2307.93097,0.00000,0.12374,0.12374
