Client Name:  Marketocracy Capital Management, LLC
Folio Name:  crossy_CFSF
Folio Number:  9A1535500P04
Download Date:  10/02/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
10/01/2019,3996245.99656,0.00009,0.00000,0.00000,-1.79756,-1.79756
09/30/2019,4069395.72668,-0.00013,0.00000,0.00000,-0.59798,-0.59798
09/27/2019,4093876.33284,0.00000,0.00000,0.00000,0.11324,0.11324
09/26/2019,4089245.79972,0.00000,0.00000,0.00000,-0.37738,-0.37738
09/25/2019,4104736.12218,0.00000,0.00000,0.00000,0.27559,0.27559
09/24/2019,4093454.85079,0.00000,0.00000,0.00000,-0.83820,-0.83820
09/23/2019,4128056.21334,0.00000,0.00000,0.00000,0.33909,0.33909
09/20/2019,4114105.88490,-0.00045,0.00000,0.00000,0.96998,0.96998
09/19/2019,4074582.09392,0.00000,1.15133,0.00000,-0.45471,-0.45471
09/18/2019,4093194.37841,0.00000,1.15133,0.00000,-0.00700,-0.00700
09/17/2019,4093480.99261,0.00000,1.15133,0.00000,-0.31228,-0.31228
09/16/2019,4106303.99924,0.66755,1.15133,0.00000,-0.22600,-0.22600
09/13/2019,4114695.44773,-0.66745,910.15998,0.00000,0.60903,0.60903
09/12/2019,4089781.88378,0.00000,910.82743,0.00000,0.53598,0.53598
09/11/2019,4067973.32112,0.00000,910.82743,0.00000,1.54004,1.54004
09/10/2019,4006261.29079,0.00000,910.82743,0.00000,1.44802,1.44802
09/09/2019,3949064.70195,0.00000,910.82743,0.00000,1.31336,1.31336
09/06/2019,3897859.82622,0.00001,910.82743,0.00000,-0.25532,-0.25532
09/05/2019,3907476.28542,0.00003,1274.04369,0.00000,1.10102,1.10102
09/04/2019,3864714.98405,0.00000,1468.01810,0.00000,0.61323,0.61323
09/03/2019,3841150.93763,0.00000,1468.01810,0.00000,-1.61142,-1.61142
08/30/2019,3904085.79603,-0.00009,1468.01810,0.00000,0.24982,0.24982
