Client Name:  Marketocracy Capital Management, LLC
Folio Name:  crossy_CFSF
Folio Number:  9A1535500P04
Download Date:  09/03/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
08/30/2019,3904085.79603,-0.00009,0.00000,0.00000,0.22652,0.22652
08/29/2019,3893969.02162,0.00000,1293.11309,0.00000,0.82924,0.82924
08/28/2019,3861933.49140,-0.00002,1293.11309,0.00000,0.18237,0.18237
08/27/2019,3854298.07625,0.00000,1896.03745,0.00000,-0.60267,-0.60267
08/26/2019,3877679.16637,0.00000,1896.03745,0.00000,0.59834,0.59834
08/23/2019,3854487.32006,-0.00001,2012.83181,0.00000,-1.62906,-1.62906
08/22/2019,3916519.04482,0.00000,3846.29739,0.00000,0.19024,0.19024
08/21/2019,3909075.28689,0.00000,3846.29739,0.00000,0.60398,0.60398
08/20/2019,3885583.75244,0.00000,3846.29739,0.00000,-0.75087,-0.75087
08/19/2019,3916302.55487,0.00000,2553.18430,0.00000,0.69592,0.69592
08/16/2019,3889218.98301,0.00000,2553.18430,0.00000,1.02543,1.02543
08/15/2019,3849716.76082,0.00011,2553.18430,0.00000,-0.32623,-0.32623
08/14/2019,3860120.16409,0.00000,4758.19474,0.00000,-1.91543,-1.91543
08/13/2019,3935594.82469,-0.00001,4758.19474,0.00000,0.47341,0.47341
08/12/2019,3916715.29607,0.00000,5071.41345,0.00000,-1.02656,-1.02656
08/09/2019,3957392.22076,0.00000,5071.41345,0.00000,-0.83025,-0.83025
08/08/2019,3990682.77202,0.00000,4954.61909,0.00000,1.86623,1.86623
08/07/2019,3919314.42454,0.00000,3121.15351,0.00000,-0.33829,-0.33829
08/06/2019,3932628.50028,0.00000,3121.15351,0.00000,0.92704,0.92704
08/05/2019,3896477.51388,-0.00002,3121.15351,0.00000,-2.70499,-2.70499
08/02/2019,4006898.88151,0.00000,1116.00332,0.00000,-0.63544,-0.63544
08/01/2019,4032530.39153,0.00000,1116.00332,0.00000,-2.49181,-2.49181
07/31/2019,4135609.83525,-0.00003,1116.00332,0.00000,-1.29968,-1.29968
07/30/2019,4188796.16932,0.00000,2401.83127,0.00000,0.22378,0.22378
