Client Name:  Marketocracy Capital Management, LLC
Folio Name:  crossy_CLVF
Folio Number:  9A1535500P05
Download Date:  02/18/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
02/14/2020,7594256.40850,0.00000,0.00000,0.00000,-0.10055,-0.10055
02/13/2020,7601899.76321,0.00000,0.00000,0.00000,-0.64746,-0.64746
02/12/2020,7651439.95515,0.00000,0.00000,0.00000,-0.49567,-0.49567
02/11/2020,7689554.60430,0.00000,0.00000,0.00000,-0.30131,-0.30131
02/10/2020,7712794.18229,0.00000,0.00000,0.00000,0.60785,0.60785
02/07/2020,7666195.18711,0.00000,0.00000,0.00000,-0.33522,-0.33522
02/06/2020,7691980.03737,0.00000,0.00000,0.00000,-0.01428,-0.01428
02/05/2020,7693078.92891,0.00000,0.00000,0.00000,1.89231,1.89231
02/04/2020,7550205.43261,0.00000,0.00000,0.00000,1.77355,1.77355
02/03/2020,7418632.34392,0.00000,0.00000,0.00000,0.52363,0.52363
01/31/2020,7379988.68128,0.00000,0.00000,0.00000,-3.74863,-3.74863
01/30/2020,7667411.35723,0.00000,0.00000,0.00000,-0.84025,-0.84025
01/29/2020,7732382.63435,0.00000,0.00000,0.00000,1.97168,1.97168
01/28/2020,7582872.42747,0.00000,0.00000,0.00000,0.61276,0.61276
01/27/2020,7536690.66865,0.00000,0.00000,0.00000,-1.38646,-1.38646
01/24/2020,7642653.25726,0.00000,0.00000,0.00000,-1.92693,-1.92693
01/23/2020,7792815.38947,0.00000,0.00000,0.00000,-0.77299,-0.77299
01/22/2020,7853522.40658,0.00000,0.00000,0.00000,-0.32163,-0.32163
01/21/2020,7878863.20136,0.00000,0.00000,0.00000,0.07967,0.07967
01/17/2020,7872591.08241,0.00000,0.00000,0.00000,-0.73370,-0.73370
01/16/2020,7930779.57710,0.00000,0.00000,0.00000,1.82526,1.82526
01/15/2020,7788616.83469,0.00000,0.00000,0.00000,1.74842,1.74842
01/14/2020,7654778.83258,0.00000,0.00000,0.00000,1.50200,1.50200
