Client Name:  Marketocracy Capital Management, LLC
Folio Name:  crossy_CLVF
Folio Number:  9A1535500P05
Download Date:  09/03/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
08/30/2019,6642291.39236,0.00000,0.00000,0.00000,0.51354,0.51354
08/29/2019,6608355.16127,0.00000,0.00000,0.00000,1.55978,1.55978
08/28/2019,6506862.57771,0.00000,0.00000,0.00000,2.83762,2.83762
08/27/2019,6327317.37154,0.00000,0.00000,0.00000,-1.64654,-1.64654
08/26/2019,6433243.15208,0.00000,0.00000,0.00000,1.19117,1.19117
08/23/2019,6357514.36184,0.00000,0.00000,0.00000,-1.96694,-1.96694
08/22/2019,6485071.94591,0.00000,0.00000,0.00000,-0.70318,-0.70318
08/21/2019,6530996.91275,0.00000,0.00000,0.00000,1.27475,1.27475
08/20/2019,6448791.26808,0.00000,0.00000,0.00000,-0.05534,-0.05534
08/19/2019,6452362.19250,0.00000,0.00000,0.00000,0.75424,0.75424
08/16/2019,6404060.44944,0.00000,0.00000,0.00000,2.63215,2.63215
08/15/2019,6239819.13552,0.00000,0.00000,0.00000,-2.30747,-2.30747
08/14/2019,6387202.18481,0.00000,0.00000,0.00000,-3.53180,-3.53180
08/13/2019,6621044.00544,0.00000,0.00000,0.00000,1.24723,1.24723
08/12/2019,6539481.35062,0.00000,0.00000,0.00000,-0.75239,-0.75239
08/09/2019,6589056.88317,0.00000,0.00000,0.00000,-2.13897,-2.13897
08/08/2019,6733075.33351,0.00000,0.00000,0.00000,0.43860,0.43860
08/07/2019,6703673.32381,0.00000,0.00000,0.00000,1.21146,1.21146
08/06/2019,6623433.11034,0.00000,0.00000,0.00000,0.07623,0.07623
08/05/2019,6618388.23867,0.00000,0.00000,0.00000,-1.96246,-1.96246
08/02/2019,6750871.70766,0.00000,0.00000,0.00000,-0.70979,-0.70979
08/01/2019,6799131.04101,0.00000,0.00000,0.00000,-0.42575,-0.42575
07/31/2019,6828202.30235,0.00000,0.00000,0.00000,-0.77059,-0.77059
07/30/2019,6881228.25241,0.00000,0.00000,0.00000,1.38861,1.38861
