Client Name:  Marketocracy Capital Management, LLC
Folio Name:  crossy_CSWF
Folio Number:  9A1535500P06
Download Date:  09/03/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
08/30/2019,9255933.92083,-0.00008,0.00000,0.00000,0.37663,0.37663
08/29/2019,9218285.88309,0.00000,2918.31175,0.00000,1.45165,1.45165
08/28/2019,9086341.84952,0.00000,2918.31175,0.00000,0.64658,0.64658
08/27/2019,9027950.34237,0.00000,2918.31175,0.00000,-1.18045,-1.18045
08/26/2019,9135828.28159,0.00000,2918.31175,0.00000,0.04510,0.04510
08/23/2019,9131708.98289,0.00000,2918.31175,0.00000,-2.37847,-2.37847
08/22/2019,9354267.15624,0.00000,2918.31175,0.00000,1.22672,1.22672
08/21/2019,9240871.92924,0.00000,2918.31175,0.00000,0.11736,0.11736
08/20/2019,9230035.70850,-0.00001,2918.31175,0.00000,-0.14158,-0.14158
08/19/2019,9242104.02258,0.00000,3940.23673,0.00000,0.78228,0.78228
08/16/2019,9170335.22192,0.00000,3940.23673,0.00000,1.38077,1.38077
08/15/2019,9045384.57094,0.00000,3940.23673,0.00000,-0.35755,-0.35755
08/14/2019,9080774.78173,0.00000,1021.92498,0.00000,-3.37613,-3.37613
08/13/2019,9398101.83589,0.00000,1021.92498,0.00000,1.49780,1.49780
08/12/2019,9259398.80759,0.00000,1021.92498,0.00000,-2.26886,-2.26886
08/09/2019,9474382.39040,0.00000,1021.92498,0.00000,-2.24044,-2.24044
08/08/2019,9691537.96784,0.00000,1021.92498,0.00000,1.95650,1.95650
08/07/2019,9505542.24252,0.00000,1021.92498,0.00000,-0.67973,-0.67973
08/06/2019,9570603.72334,0.00000,1021.92498,0.00000,0.99346,0.99346
08/05/2019,9476449.15125,0.00000,1021.92498,0.00000,-3.16348,-3.16348
08/02/2019,9787083.36074,0.00000,0.00000,0.00000,-0.18816,-0.18816
08/01/2019,9805533.86136,0.00000,0.00000,0.00000,-1.62672,-1.62672
07/31/2019,9967679.95173,0.00000,0.00000,0.00000,-0.79185,-0.79185
07/30/2019,10047239.17075,0.00000,0.00000,0.00000,0.15080,0.15080
