Client Name:  Marketocracy Capital Management, LLC
Folio Name:  crossy_CTCF
Folio Number:  9A1535500P07
Download Date:  06/11/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
06/10/2019,3450275.09026,0.00000,0.00000,0.00000,-0.50232,-0.50232
06/07/2019,3467694.02965,0.00000,0.00000,0.00000,-0.11220,-0.11220
06/06/2019,3471589.28683,0.00000,0.00000,0.00000,0.47648,0.47648
06/05/2019,3455126.17536,0.00000,0.00000,0.00000,-0.73881,-0.73881
06/04/2019,3480843.06929,0.00000,0.00000,0.00000,0.68984,0.68984
06/03/2019,3456995.43460,0.00000,0.00000,0.00000,-0.39177,-0.39177
05/31/2019,3470592.00484,0.00000,0.00000,0.00000,-2.90155,-2.90155
05/30/2019,3574302.23357,0.00000,0.00000,0.00000,1.04329,1.04329
05/29/2019,3537396.97777,0.00000,0.00000,0.00000,-2.40849,-2.40849
05/28/2019,3624697.28233,0.00000,0.00000,0.00000,-0.70321,-0.70321
05/24/2019,3650367.21059,0.00000,0.00000,0.00000,1.34112,1.34112
05/23/2019,3602059.32083,0.00000,0.00000,0.00000,-1.32651,-1.32651
05/22/2019,3650483.42075,0.00000,0.00000,0.00000,-1.77072,-1.77072
05/21/2019,3716288.35426,0.00000,0.00000,0.00000,1.83127,1.83127
05/20/2019,3649456.89009,0.00000,0.00000,0.00000,0.93980,0.93980
05/17/2019,3615478.77585,0.00000,0.00000,0.00000,-0.51226,-0.51226
05/16/2019,3634094.79350,0.00000,0.00000,0.00000,-0.14685,-0.14685
05/15/2019,3639439.31373,0.00000,0.00000,0.00000,1.07793,1.07793
05/14/2019,3600627.02583,0.00000,0.00000,0.00000,0.69886,0.69886
05/13/2019,3575638.36505,0.00000,0.00000,0.00000,-2.67565,-2.67565
05/10/2019,3673940.24547,0.00000,0.00000,0.00000,-0.12212,-0.12212
