Client Name:  Marketocracy Capital Management, LLC
Folio Name:  crossy_CTXF
Folio Number:  9A1535500P08
Download Date:  02/06/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
02/05/2019,7380063.84704,0.00000,0.00000,0.00000,-0.34469,-0.34469
02/04/2019,7405590.09117,0.00000,0.00000,0.00000,0.63058,0.63058
02/01/2019,7359184.34212,0.00000,0.00000,0.00000,0.43459,0.43459
01/31/2019,7327340.22071,0.00000,0.00000,0.00000,2.08206,2.08206
01/30/2019,7177892.09977,0.00000,0.00000,0.00000,3.67990,3.67990
01/29/2019,6923128.22104,0.00000,0.00000,0.00000,-1.59058,-1.59058
01/28/2019,7035025.62175,0.00000,0.00000,0.00000,-1.82898,-1.82898
01/25/2019,7166091.75788,0.00000,0.00000,0.00000,3.87276,3.87276
01/24/2019,6898913.07175,0.00000,0.00000,0.00000,2.95353,2.95353
01/23/2019,6700997.07223,0.00000,0.00000,0.00000,0.82344,0.82344
01/22/2019,6646269.28528,0.00000,0.00000,0.00000,-2.61738,-2.61738
01/18/2019,6824903.22382,0.00000,0.00000,0.00000,1.39160,1.39160
01/17/2019,6731231.71392,0.00000,0.00000,0.00000,0.62287,0.62287
01/16/2019,6689564.66915,0.00000,0.00000,0.00000,0.33243,0.33243
01/15/2019,6667400.06085,0.00000,0.00000,0.00000,0.75503,0.75503
01/14/2019,6617436.61759,0.00000,0.00000,0.00000,-2.25317,-2.25317
01/11/2019,6769975.63351,0.00000,0.00000,0.00000,1.29202,1.29202
01/10/2019,6683621.64634,0.00000,0.00000,0.00000,0.48347,0.48347
01/09/2019,6651463.73194,0.00000,0.00000,0.00000,1.65801,1.65801
01/08/2019,6542980.77762,0.00000,0.00000,0.00000,1.18836,1.18836
01/07/2019,6466140.00960,0.00000,0.00000,0.00000,2.27918,2.27918
01/04/2019,6322048.90939,0.00000,0.00000,0.00000,4.25288,4.25288
