Client Name:  Marketocracy Capital Management, LLC
Folio Name:  crossy_CTXF
Folio Number:  9A1535500P08
Download Date:  09/03/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
08/30/2019,8026872.99568,0.00000,0.00000,0.00000,0.14117,0.14117
08/29/2019,8015557.63483,0.00000,0.00000,0.00000,1.26089,1.26089
08/28/2019,7915748.75852,0.00000,0.00000,0.00000,0.41867,0.41867
08/27/2019,7882746.45795,0.00000,0.00000,0.00000,-0.98679,-0.98679
08/26/2019,7961307.69633,0.00000,0.00000,0.00000,-0.16396,-0.16396
08/23/2019,7974382.67432,0.00000,0.00000,0.00000,-3.61969,-3.61969
08/22/2019,8273871.06282,0.00000,0.00000,0.00000,-0.26647,-0.26647
08/21/2019,8295977.00295,0.00000,0.00000,0.00000,-0.58383,-0.58383
08/20/2019,8344695.67433,0.00000,0.00000,0.00000,0.11697,0.11697
08/19/2019,8334946.39418,0.00000,0.00000,0.00000,1.58699,1.58699
08/16/2019,8204738.24013,0.00000,0.00000,0.00000,2.96684,2.96684
08/15/2019,7968330.84129,0.00000,0.00000,0.00000,-0.60375,-0.60375
08/14/2019,8016732.13379,0.00000,0.00000,0.00000,-3.56195,-3.56195
08/13/2019,8312831.31952,-0.00001,0.00000,0.00000,1.74361,1.74361
08/12/2019,8163812.10256,0.00000,6559.65809,0.00000,-1.42333,-1.42333
08/09/2019,8281782.65661,0.00000,6559.65809,0.00000,-2.22302,-2.22302
08/08/2019,8470223.26917,0.00000,6559.65809,0.00000,6.96247,6.96247
08/07/2019,7918447.09240,0.00000,6559.65809,0.00000,-0.14806,-0.14806
08/06/2019,7930197.93679,0.00000,6559.65809,0.00000,1.09243,1.09243
08/05/2019,7844431.63652,0.00000,6559.65809,0.00000,-4.07277,-4.07277
08/02/2019,8177759.77457,0.00000,6559.65809,0.00000,-2.38050,-2.38050
08/01/2019,8377338.07370,0.00000,6559.65809,0.00000,-1.43048,-1.43048
07/31/2019,8499008.38143,0.00000,6559.65809,0.00000,-2.01904,-2.01904
07/30/2019,8674278.28199,0.00000,6559.65809,0.00000,0.22150,0.22150
