Client Name:  Marketocracy Capital Management, LLC
Folio Name:  crossy_CWBF
Folio Number:  9A1535500P09
Download Date:  03/18/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
03/15/2019,7482033.22914,-0.00018,0.00000,0.00000,0.48623,0.48623
03/14/2019,7443528.04447,-0.00019,2301.36388,0.00000,-0.45979,-0.45979
03/13/2019,7475463.91952,-0.00019,4759.01149,0.00000,0.91524,0.91524
03/12/2019,7403931.62556,0.00000,8450.17176,0.00000,-4.71757,-4.71757
03/11/2019,7770929.51980,0.00001,8450.17176,0.00000,5.94646,5.94646
03/08/2019,7334296.20610,0.00000,8450.17176,0.00000,-0.53673,-0.53673
03/07/2019,7373919.37698,0.00000,8450.17176,0.00000,-0.45573,-0.45573
03/06/2019,7407717.16194,0.00000,8450.17176,0.00000,-1.97450,-1.97450
03/05/2019,7557098.76166,0.00000,8450.17176,0.00000,-0.20666,-0.20666
03/04/2019,7572765.98690,0.00000,8450.17176,0.00000,0.14249,0.14249
03/01/2019,7561979.19516,0.00000,8450.17176,0.00000,-0.29190,-0.29190
02/28/2019,7584141.98151,0.00000,8450.17176,0.00000,-0.41001,-0.41001
02/27/2019,7617701.53519,0.00000,6148.80788,0.00000,0.25500,0.25500
02/26/2019,7598309.97387,0.00000,6148.80788,0.00000,0.47346,0.47346
02/25/2019,7562475.30170,0.00000,6148.80788,0.00000,-0.36240,-0.36240
02/22/2019,7590003.41672,0.00000,6148.80788,0.00000,-0.17399,-0.17399
02/21/2019,7606934.21897,0.00000,2457.64761,0.00000,0.53294,0.53294
02/20/2019,7566595.43933,0.00000,2457.64761,0.00000,-0.61078,-0.61078
02/19/2019,7613109.77807,0.00000,2457.64761,0.00000,0.26039,0.26039
02/15/2019,7593330.80793,0.00000,2457.64761,0.00000,0.61833,0.61833
02/14/2019,7546652.27406,0.00000,2457.64761,0.00000,-0.97948,-0.97948
02/13/2019,7621325.35410,0.00000,2457.64761,0.00000,0.35933,0.35933
02/12/2019,7596486.52259,0.00000,0.00000,0.00000,1.57797,1.57797
