Client Name:  Marketocracy Capital Management, LLC
Folio Name:  crossy_CWBF
Folio Number:  9A1535500P09
Download Date:  09/03/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
08/30/2019,7281606.38702,0.00000,0.00000,0.00000,0.25060,0.25060
08/29/2019,7263404.55092,0.00000,0.00000,0.00000,3.53664,3.53664
08/28/2019,7015298.61299,0.00000,0.00000,0.00000,2.41940,2.41940
08/27/2019,6849579.66512,0.00000,0.00000,0.00000,-0.82644,-0.82644
08/26/2019,6906659.38515,0.00000,0.00000,0.00000,0.00254,0.00254
08/23/2019,6906483.82020,0.00000,0.00000,0.00000,-2.21102,-2.21102
08/22/2019,7062640.16810,0.00000,0.00000,0.00000,0.59370,0.59370
08/21/2019,7020956.56142,0.00000,0.00000,0.00000,0.38578,0.38578
08/20/2019,6993975.01958,0.00000,0.00000,0.00000,-0.64712,-0.64712
08/19/2019,7039529.34816,0.00000,0.00000,0.00000,0.18306,0.18306
08/16/2019,7026666.50931,0.00000,0.00000,0.00000,1.21175,1.21175
08/15/2019,6942540.18557,0.00000,0.00000,0.00000,0.12431,0.12431
08/14/2019,6933920.39990,0.00000,0.00000,0.00000,-3.81657,-3.81657
08/13/2019,7209059.13247,0.00000,0.00000,0.00000,1.01761,1.01761
08/12/2019,7136437.97514,0.00020,0.00000,0.00000,-1.70614,-1.70614
08/09/2019,7256545.22913,0.00000,3763.58784,0.00000,-1.88892,-1.88892
08/08/2019,7396327.25856,0.00000,3763.58784,0.00000,1.35661,1.35661
08/07/2019,7297280.59278,0.00000,3763.58784,0.00000,0.53899,0.53899
08/06/2019,7258139.49969,0.00000,3763.58784,0.00000,1.08853,1.08853
08/05/2019,7179942.77741,0.00000,3763.58784,0.00000,-1.28332,-1.28332
08/02/2019,7273331.42245,0.00000,3763.58784,0.00000,-0.37504,-0.37504
08/01/2019,7304489.77412,0.00000,0.00000,0.00000,-1.94743,-1.94743
07/31/2019,7449564.46743,0.00000,0.00000,0.00000,0.19582,0.19582
07/30/2019,7435005.18117,0.00000,0.00000,0.00000,0.78537,0.78537
