Client Name:  Marketocracy Capital Management, LLC
Folio Name:  FOLIOfn: glenbo_nj_GMF
Folio Number:  9A1535600H01
Download Date:  06/11/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
06/10/2019,9419342.54902,0.00000,0.00000,0.00000,2.15978,2.15978
06/07/2019,9220206.19859,0.00000,0.00000,0.00000,1.88023,1.88023
06/06/2019,9050044.76860,0.00000,0.00000,0.00000,0.85390,0.85390
06/05/2019,8973420.28768,0.00000,0.00000,0.00000,0.36817,0.36817
06/04/2019,8940503.63021,0.00000,0.00000,0.00000,2.84340,2.84340
06/03/2019,8693318.13604,0.00019,0.00000,0.00000,-3.21825,-3.21825
05/31/2019,8982393.69647,0.00001,0.00000,0.00000,-1.87969,-1.87969
05/30/2019,9154125.45969,-0.00038,343.48488,0.00000,-0.02676,-0.02676
05/29/2019,9154667.04105,0.00000,2251.86775,0.00000,-0.92212,-0.92212
05/28/2019,9239890.65615,0.00000,2251.86775,0.00000,0.31522,0.31522
05/24/2019,9210849.48309,0.00000,2251.86775,0.00000,0.13264,0.13264
05/23/2019,9198645.44611,0.00000,2251.86775,0.00000,-2.32593,-2.32593
05/22/2019,9417747.72002,0.00000,2251.86775,0.00000,0.00183,0.00183
05/21/2019,9417575.52239,0.00000,2251.86775,0.00000,0.56837,0.56837
05/20/2019,9364338.88445,0.00000,2251.86775,0.00000,-0.99801,-0.99801
05/17/2019,9458760.96315,0.00000,2251.86775,0.00000,-1.59449,-1.59449
05/16/2019,9612060.22010,0.00000,2251.86775,0.00000,1.47450,1.47450
05/15/2019,9472357.18492,0.00000,2251.86775,0.00000,0.95046,0.95046
05/14/2019,9383153.10647,0.00000,2251.86775,0.00000,1.26569,1.26569
05/13/2019,9267755.81486,0.00000,343.48488,0.00000,-3.60772,-3.60772
05/10/2019,9614637.51178,0.00000,343.48488,0.00000,-0.23205,-0.23205
