Client Name:  Marketocracy Capital Management, LLC
Folio Name:  FOLIOfn: glenbo_nj_GMF
Folio Number:  9A1535600H01
Download Date:  08/26/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
08/23/2019,9225285.77841,0.00000,0.00000,0.00000,-3.00803,-3.00803
08/22/2019,9511391.09434,-0.00014,0.00000,0.00000,-0.66935,-0.66935
08/21/2019,9573562.34129,0.00000,1922.10268,0.00000,1.33206,1.33206
08/20/2019,9447687.47787,0.00000,1922.10268,0.00000,-0.83594,-0.83594
08/19/2019,9527346.77163,0.00000,1922.10268,0.00000,1.68262,1.68262
08/16/2019,9369658.89781,0.00000,1922.10268,0.00000,1.77461,1.77461
08/15/2019,9206249.64905,0.00000,1922.10268,0.00000,0.13492,0.13492
08/14/2019,9193843.01324,0.00000,1922.10268,0.00000,-3.15146,-3.15146
08/13/2019,9493074.02987,0.00000,1922.10268,0.00000,1.94142,1.94142
08/12/2019,9312247.27281,0.00000,1922.10268,0.00000,-1.38959,-1.38959
08/09/2019,9443500.05351,0.00000,1922.10268,0.00000,-1.34949,-1.34949
08/08/2019,9572709.04190,0.00000,1922.10268,0.00000,2.23025,2.23025
08/07/2019,9363829.56238,0.00000,1922.10268,0.00000,0.50821,0.50821
08/06/2019,9316472.82944,0.00000,1922.10268,0.00000,1.35755,1.35755
08/05/2019,9191665.37414,0.00000,1922.10268,0.00000,-3.66432,-3.66432
08/02/2019,9541361.81719,0.00000,1922.10268,0.00000,-1.54213,-1.54213
08/01/2019,9690836.40625,0.00000,1922.10268,0.00000,-0.61020,-0.61020
07/31/2019,9750345.10178,0.00000,1922.10268,0.00000,-1.75367,-1.75367
07/30/2019,9926342.95260,0.00000,0.00000,0.00000,-0.47753,-0.47753
07/29/2019,9973971.79786,0.00000,0.00000,0.00000,-0.95239,-0.95239
07/26/2019,10069876.52046,0.00000,0.00000,0.00000,-0.39689,-0.39689
07/25/2019,10110002.35113,0.00000,0.00000,0.00000,-1.64647,-1.64647
07/24/2019,10279246.60069,0.00000,0.00000,0.00000,0.64598,0.64598
07/23/2019,10213270.94939,0.00000,0.00000,0.00000,0.64360,0.64360
