Client Name:  Marketocracy Capital Management, LLC
Folio Name:  FOLIOfn: glenbo_nj_GMF
Folio Number:  9A1535600H01
Download Date:  07/06/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
07/02/2020,15374044.34666,0.00000,0.00000,0.00000,1.83959,1.83959
07/01/2020,15096334.05552,0.00000,0.00000,0.00000,1.72919,1.72919
06/30/2020,14839726.99478,0.00010,0.00000,0.00000,3.28475,3.28475
06/29/2020,14367628.90246,0.00000,152.57489,0.00000,1.00880,1.00880
06/26/2020,14224133.75894,0.00072,152.57489,0.00000,-2.79070,-2.79070
06/25/2020,14631758.71346,0.00000,880.91670,0.00000,1.71912,1.71912
06/24/2020,14384456.85656,0.00000,880.91670,0.00000,-2.97700,-2.97700
06/23/2020,14825848.81970,0.00000,880.91670,0.00000,0.38194,0.38194
06/22/2020,14769434.43273,0.00000,880.91670,0.00000,2.56397,2.56397
06/19/2020,14400194.72125,0.00000,880.91670,0.00000,0.29092,0.29092
06/18/2020,14358421.20636,0.00000,880.91670,0.00000,1.60662,1.60662
06/17/2020,14131369.30702,0.00000,880.91670,0.00000,1.11017,1.11017
06/16/2020,13976199.95933,0.00000,880.91670,0.00000,1.18059,1.18059
06/15/2020,13813112.99179,0.00000,880.91670,0.00000,2.85141,2.85141
06/12/2020,13430139.18882,0.00000,880.91670,0.00000,1.27067,1.27067
06/11/2020,13261769.57339,0.00000,728.34181,0.00000,-6.15052,-6.15052
06/10/2020,14130940.54782,0.00000,728.34181,0.00000,2.33934,2.33934
06/09/2020,13807909.52927,0.00000,728.34181,0.00000,0.11943,0.11943
06/08/2020,13791438.10975,0.00000,728.34181,0.00000,2.15111,2.15111
06/05/2020,13501000.98420,0.00000,728.34181,0.00000,1.09869,1.09869
06/04/2020,13354271.30986,0.00000,728.34181,0.00000,-2.06308,-2.06308
06/03/2020,13636328.01636,-0.00002,0.00000,0.00000,0.17891,0.17891
06/02/2020,13611138.87033,0.00000,836.16777,0.00000,0.51979,0.51979
06/01/2020,13540751.65217,-0.00015,836.16777,0.00000,3.31237,3.31237
