Client Name:  Marketocracy Capital Management, LLC
Folio Name:  FOLIOfn: rexjacobsen_RMF
Folio Number:  9A1535700901
Download Date:  02/06/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
02/05/2020,8537573.35980,0.00000,0.00000,0.00000,-3.58680,-3.58680
02/04/2020,8855191.79120,0.00000,0.00000,0.00000,5.25888,5.25888
02/03/2020,8412773.70467,0.00012,0.00000,0.00000,5.13088,5.13088
01/31/2020,8002190.82909,0.00000,0.00000,0.00000,-0.22244,-0.22244
01/30/2020,8020030.32488,0.00000,0.00000,0.00000,1.22233,1.22233
01/29/2020,7923182.91719,0.00000,0.00000,0.00000,0.27859,0.27859
01/28/2020,7901170.69681,0.00000,0.00000,0.00000,1.67235,1.67235
01/27/2020,7771208.68305,0.00000,0.00000,0.00000,-1.87827,-1.87827
01/24/2020,7919966.65070,0.00000,0.00000,0.00000,-1.67928,-1.67928
01/23/2020,8055237.01426,0.00000,0.00000,0.00000,0.05392,0.05392
01/22/2020,8050895.62975,0.00000,0.00000,0.00000,0.72278,0.72278
01/21/2020,7993123.02612,0.00000,0.00000,0.00000,0.61438,0.61438
01/17/2020,7944314.71837,0.00000,0.00000,0.00000,-0.53595,-0.53595
01/16/2020,7987121.93727,0.00028,0.00000,0.00000,0.89779,0.89779
01/15/2020,7916004.35043,0.00000,47.67770,0.00000,-0.31858,-0.31858
01/14/2020,7941304.25890,0.00000,47.67770,0.00000,0.23704,0.23704
01/13/2020,7922524.43547,-0.00049,47.67770,0.00000,2.24896,2.24896
01/10/2020,7748243.29704,0.00000,72.36003,0.00000,-0.60018,-0.60018
01/09/2020,7795028.08048,0.00000,72.36003,0.00000,0.10482,0.10482
01/08/2020,7786865.69571,0.00000,72.36003,0.00000,1.69196,1.69196
01/07/2020,7657306.05693,0.00000,72.36003,0.00000,1.16492,1.16492
01/06/2020,7569130.69276,0.00012,72.36003,0.00000,1.02738,1.02738
01/03/2020,7492129.76282,0.00000,99.82157,0.00000,-0.71699,-0.71699
