Client Name:  Marketocracy Capital Management, LLC
Folio Name:  FOLIOfn: rexjacobsen_RMF
Folio Number:  9A1535700901
Download Date:  07/06/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
07/02/2020,11989466.73920,0.00000,0.00000,0.00000,2.91339,2.91339
07/01/2020,11650054.65194,0.00000,0.00000,0.00000,2.58913,2.58913
06/30/2020,11356032.75460,0.00000,0.00000,0.00000,3.00370,3.00370
06/29/2020,11024878.10555,0.00000,0.00000,0.00000,1.20387,1.20387
06/26/2020,10893731.71317,0.00084,0.00000,0.00000,-2.56296,-2.56296
06/25/2020,11180010.75892,0.00000,267.45700,0.00000,2.19063,2.19063
06/24/2020,10940342.26246,0.00000,267.45700,0.00000,-2.97237,-2.97237
06/23/2020,11275499.31393,0.00000,267.45700,0.00000,1.26565,1.26565
06/22/2020,11134571.57933,-0.00062,267.45700,0.00000,2.51145,2.51145
06/19/2020,10861757.24773,0.00024,287.21505,0.00000,0.59499,0.59499
06/18/2020,10797346.32443,0.00000,451.91545,0.00000,0.95082,0.95082
06/17/2020,10695645.46188,0.00000,451.91545,0.00000,0.69770,0.69770
06/16/2020,10621535.60177,0.00000,451.91545,0.00000,1.31411,1.31411
06/15/2020,10483761.07589,0.00027,451.91545,0.00000,3.51383,3.51383
06/12/2020,10127497.60131,0.00000,823.53566,0.00000,0.22851,0.22851
06/11/2020,10104406.07671,0.00000,823.53566,0.00000,-5.75723,-5.75723
06/10/2020,10721728.51285,0.00000,823.53566,0.00000,2.92859,2.92859
06/09/2020,10416643.32706,0.00000,823.53566,0.00000,0.80766,0.80766
06/08/2020,10333179.50518,0.00000,823.53566,0.00000,2.10667,2.10667
06/05/2020,10119967.79385,0.00000,823.53566,0.00000,0.97920,0.97920
06/04/2020,10021825.07588,0.00000,824.92369,0.00000,-2.44768,-2.44768
06/03/2020,10273569.77788,0.00036,557.46669,0.00000,0.27292,0.27292
06/02/2020,10245200.96791,0.00000,962.44457,0.00000,0.59167,0.59167
06/01/2020,10184934.47139,0.00000,962.44457,0.00000,2.74131,2.74131
