Client Name:  Marketocracy Capital Management, LLC
Folio Name:  FOLIOfn: advisorcfa_AGBF
Folio Number:  9A1536500L01
Download Date:  08/26/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
08/23/2019,2188406.27608,0.00027,0.00000,0.00000,-2.29042,-2.29042
08/22/2019,2239106.27433,0.00000,598.53774,0.00000,0.21161,0.21161
08/21/2019,2234376.91813,0.00001,598.53774,0.00000,1.11639,1.11639
08/20/2019,2209619.54825,0.00000,680.35202,0.00000,-0.51899,-0.51899
08/19/2019,2221150.55401,0.00000,680.35202,0.00000,1.40475,1.40475
08/16/2019,2190371.67766,-0.00012,680.35202,0.00000,1.42334,1.42334
08/15/2019,2159448.12260,0.00069,855.37903,0.00000,0.05373,0.05373
08/14/2019,2158072.17973,0.00000,1071.21594,0.00000,-3.02207,-3.02207
08/13/2019,2225356.45595,0.00000,1071.21594,0.00000,1.18588,1.18588
08/12/2019,2199388.82186,0.00000,945.53051,0.00000,-1.70437,-1.70437
08/09/2019,2237540.89781,0.00000,945.53051,0.00000,-0.98613,-0.98613
08/08/2019,2260051.07734,0.00000,729.69360,0.00000,1.57024,1.57024
08/07/2019,2225100.16088,0.00000,729.69360,0.00000,0.31730,0.31730
08/06/2019,2218060.02732,0.00000,729.69360,0.00000,1.40906,1.40906
08/05/2019,2187312.22551,305.88679,647.87932,0.00000,-3.39577,-3.39577
08/02/2019,2263353.60146,0.00000,1204.96043,0.00000,-0.83268,-0.83268
08/01/2019,2282841.36085,-305.88688,732.10812,0.00000,-1.32211,-1.32211
07/31/2019,2313076.74890,-0.00049,1400.60847,0.00000,-0.91482,-0.91482
07/30/2019,2333423.94016,0.00000,2422.27503,0.00000,-0.14414,-0.14414
07/29/2019,2336795.69130,0.00000,2422.27503,0.00000,-0.24852,-0.24852
07/26/2019,2342623.53062,0.00000,2422.27503,0.00000,0.57691,0.57691
07/25/2019,2329653.28905,0.00000,1941.36120,0.00000,-1.19797,-1.19797
07/24/2019,2357923.71226,0.00000,1941.36120,0.00000,0.35959,0.35959
07/23/2019,2349468.23247,-0.00292,1941.36120,0.00000,0.66951,0.66951
