Client Name:  Marketocracy Capital Management, LLC
Folio Name:  FOLIOfn: advisorcfa_ENRGY
Folio Number:  9A1536500L02
Download Date:  04/01/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
03/29/2019,1752813.83071,0.00014,0.00000,0.00000,0.62380,0.62380
03/28/2019,1741883.00303,0.00014,64.48925,0.00000,0.65218,0.65218
03/27/2019,1730440.52869,0.00008,219.99210,0.00000,-1.62612,-1.62612
03/26/2019,1759002.82209,-0.00018,265.55550,0.00000,0.56045,0.56045
03/25/2019,1749114.90605,0.00016,348.56844,0.00000,0.02248,0.02248
03/22/2019,1748475.25767,0.00000,595.03410,0.00000,-3.98642,-3.98642
03/21/2019,1821095.43383,0.00000,595.03410,0.00000,0.09625,0.09625
03/20/2019,1819343.70270,-0.00014,595.03410,0.00000,1.07486,1.07486
03/19/2019,1799654.55653,0.00000,930.35326,0.00000,0.19113,0.19113
03/18/2019,1796219.67483,0.00000,930.35326,0.00000,2.09401,2.09401
03/15/2019,1759359.02379,-0.00006,930.35326,0.00000,0.51712,0.51712
03/14/2019,1750438.06049,0.00000,795.34161,0.00000,-0.01084,-0.01084
03/13/2019,1750847.95635,0.00000,575.34951,0.00000,1.17038,1.17038
03/12/2019,1730586.69913,-0.00031,575.34951,0.00000,0.75924,0.75924
03/11/2019,1717347.24730,0.00000,770.25207,0.00000,2.52917,2.52917
03/08/2019,1674965.06853,-0.00026,770.25207,0.00000,-0.79082,-0.79082
03/07/2019,1688242.46848,0.00000,850.51531,0.00000,-1.40758,-1.40758
03/06/2019,1712357.25741,0.00000,850.51531,0.00000,-1.64415,-1.64415
03/05/2019,1740995.86573,0.00000,850.51531,0.00000,-0.16890,-0.16890
03/04/2019,1743988.40578,0.00000,804.95191,0.00000,-0.02996,-0.02996
03/01/2019,1744511.38730,-0.00001,804.95191,0.00000,-0.17048,-0.17048
02/28/2019,1747369.73188,-0.00006,927.03729,0.00000,-1.00469,-1.00469
02/27/2019,1763412.64864,0.00000,2627.38620,0.00000,0.57395,0.57395
02/26/2019,1753334.38581,0.00000,2627.38620,0.00000,0.04146,0.04146
