Client Name:  Marketocracy Capital Management, LLC
Folio Name:  FOLIOfn: advisorcfa_RUSSR
Folio Number:  9A1536500L03
Download Date:  02/06/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
02/05/2020,1119947.33032,0.00000,0.00000,0.00000,0.34069,0.34069
02/04/2020,1116144.76095,0.00143,0.00000,0.00000,1.40948,1.40948
02/03/2020,1100631.63060,-0.00006,0.00000,0.00000,-0.47607,-0.47607
01/31/2020,1105896.47639,0.00008,0.00000,0.00000,-0.64718,-0.64718
01/30/2020,1113100.27819,-0.00040,0.00000,0.00000,-0.22374,-0.22374
01/29/2020,1115596.36820,0.00000,0.00000,0.00000,-0.20296,-0.20296
01/28/2020,1117865.14657,-0.00122,0.00000,0.00000,0.97973,0.97973
01/27/2020,1107019.29264,0.00000,0.00000,0.00000,-2.07850,-2.07850
01/24/2020,1130517.09200,-0.00002,0.00000,0.00000,-0.39391,-0.39391
01/23/2020,1134987.94983,-0.00036,0.00000,0.00000,-0.90724,-0.90724
01/22/2020,1145379.33500,0.00000,0.00000,0.00000,-0.09634,-0.09634
01/21/2020,1146483.85780,0.00000,0.00000,0.00000,-0.28426,-0.28426
01/17/2020,1149752.14950,0.00000,0.00000,0.00000,0.62447,0.62447
01/16/2020,1142616.80875,0.00000,0.00000,0.00000,0.82735,0.82735
01/15/2020,1133240.95579,0.00000,0.00000,0.00000,-0.19430,-0.19430
01/14/2020,1135447.09605,0.00000,0.00000,0.00000,-1.10802,-1.10802
01/13/2020,1148169.09121,0.00000,0.00000,0.00000,1.10152,1.10152
01/10/2020,1135659.53378,0.00000,0.00000,0.00000,-0.08084,-0.08084
01/09/2020,1136578.30855,0.00072,0.00000,0.00000,0.70572,0.70572
01/08/2020,1128613.40983,-0.00025,0.00000,0.00000,0.83740,0.83740
01/07/2020,1119240.93832,0.00000,0.00000,0.00000,-0.15534,-0.15534
01/06/2020,1120982.25080,0.00000,0.00000,0.00000,0.54473,0.54473
01/03/2020,1114908.96607,0.00000,0.00000,0.00000,-1.21870,-1.21870
