Client Name:  Marketocracy Capital Management, LLC
Folio Name:  FOLIOfn: eugeneg_EMF
Folio Number:  9A1536600D01
Download Date:  01/02/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
12/31/2019,10437118.67969,-0.00135,0.00000,0.00000,0.59333,0.59333
12/30/2019,10375557.33463,-0.00150,0.00000,0.00000,-0.75940,-0.75940
12/27/2019,10454951.94891,-0.00004,0.00000,0.00000,-0.08222,-0.08222
12/26/2019,10458062.14385,0.00000,5492.49269,0.00000,0.34281,0.34281
12/24/2019,10422314.14556,0.00000,5492.49269,0.00000,0.10262,0.10262
12/23/2019,10411623.84777,0.00000,5492.49269,0.00000,0.18275,0.18275
12/20/2019,10392620.99496,0.00089,5492.49269,0.00000,-0.01315,-0.01315
12/19/2019,10393795.88016,0.00000,5684.68436,0.00000,0.67182,0.67182
12/18/2019,10324396.79192,0.00000,5684.68436,0.00000,-0.17805,-0.17805
12/17/2019,10342822.52623,0.00000,5684.68436,0.00000,0.24747,0.24747
12/16/2019,10317276.38490,0.00000,5684.68436,0.00000,0.62770,0.62770
12/13/2019,10252882.88947,0.00000,5684.68436,0.00000,0.03639,0.03639
12/12/2019,10249150.79686,0.00000,5684.68436,0.00000,0.39395,0.39395
12/11/2019,10210131.45870,0.00000,4463.19650,0.00000,0.34736,0.34736
12/10/2019,10174773.01788,0.00000,4463.19650,0.00000,-0.11883,-0.11883
12/09/2019,10186883.08298,0.00000,4463.19650,0.00000,-0.02014,-0.02014
12/06/2019,10193207.31416,0.00000,192.19167,0.00000,0.58219,0.58219
12/05/2019,10134206.01933,0.00000,192.19167,0.00000,0.37035,0.37035
12/04/2019,10096811.86351,0.00000,192.19167,0.00000,0.38660,0.38660
12/03/2019,10057927.26648,0.00000,192.19167,0.00000,-0.23383,-0.23383
12/02/2019,10081501.61660,0.00000,192.19167,0.00000,-0.72260,-0.72260
11/29/2019,10154882.46801,0.00000,192.19167,0.00000,-0.06988,-0.06988
11/27/2019,10161984.05811,0.00000,192.19167,0.00000,0.23640,0.23640
11/26/2019,10138209.77637,0.00000,0.00000,0.00000,-0.25920,-0.25920
11/25/2019,10164556.25217,0.00000,0.00000,0.00000,0.73302,0.73302
11/22/2019,10088720.11808,0.00000,1870.38623,0.00000,-0.34689,-0.34689
11/21/2019,10123845.41652,0.00000,1870.38623,0.00000,0.23901,0.23901
11/20/2019,10099701.24037,0.00000,1870.38623,0.00000,-0.09765,-0.09765
11/19/2019,10109574.92423,0.00000,1870.38623,0.00000,0.26675,0.26675
11/18/2019,10082674.79152,0.00000,1870.38623,0.00000,0.17030,0.17030
11/15/2019,10065530.20583,0.00000,1870.38623,0.00000,0.41318,0.41318
11/14/2019,10024104.84005,0.00004,1870.38623,0.00000,-0.03226,-0.03226
11/13/2019,10023966.96656,0.00000,5243.88425,0.00000,0.07192,0.07192
11/12/2019,10016758.83441,0.00000,5243.88425,0.00000,0.20835,0.20835
11/11/2019,9995921.40631,0.00000,5243.88425,0.00000,0.06581,0.06581
11/08/2019,9989344.14829,0.00000,5243.88425,0.00000,0.36226,0.36226
11/07/2019,9953268.91756,0.00000,5243.88425,0.00000,0.16102,0.16102
11/06/2019,9942503.58170,0.00000,0.00000,0.00000,0.02747,0.02747
11/05/2019,9939773.55355,0.00000,0.00000,0.00000,-0.02076,-0.02076
11/04/2019,9941837.23086,0.00000,0.00000,0.00000,0.33323,0.33323
11/01/2019,9908818.05213,0.00000,0.00000,0.00000,0.50759,0.50759
10/31/2019,9858775.42174,0.00000,0.00000,0.00000,0.28940,0.28940
10/30/2019,9830325.97322,0.00000,0.00000,0.00000,0.19251,0.19251
10/29/2019,9811437.59767,0.00000,0.00000,0.00000,-0.64636,-0.64636
10/28/2019,9875267.60323,0.00000,0.00000,0.00000,0.41571,0.41571
10/25/2019,9834385.49141,0.00000,0.00000,0.00000,0.42306,0.42306
10/24/2019,9792955.84998,0.00000,0.00000,0.00000,0.61764,0.61764
10/23/2019,9732842.01380,0.00000,0.00000,0.00000,0.50222,0.50222
10/22/2019,9684206.05477,0.00000,0.00000,0.00000,-0.42934,-0.42934
10/21/2019,9725963.30021,0.00000,0.00000,0.00000,0.24998,0.24998
10/18/2019,9701710.64056,0.00000,0.00000,0.00000,-0.56627,-0.56627
10/17/2019,9756961.54768,0.00000,0.00000,0.00000,0.53250,0.53250
10/16/2019,9705280.60438,0.00000,0.00000,0.00000,-0.09200,-0.09200
10/15/2019,9714217.27780,0.00020,0.00000,0.00000,0.75947,0.75947
10/14/2019,9637620.82293,0.00000,3376.23681,0.00000,0.02224,0.02224
10/11/2019,9635476.99946,0.00000,3376.23681,0.00000,0.46268,0.46268
10/10/2019,9591085.60884,0.00000,3376.23681,0.00000,0.42529,0.42529
10/09/2019,9550454.52496,0.00000,3376.23681,0.00000,0.67723,0.67723
10/08/2019,9486188.50375,0.00000,3376.23681,0.00000,-0.77598,-0.77598
10/07/2019,9560401.30212,0.00000,3376.23681,0.00000,-0.39418,-0.39418
10/04/2019,9598248.80458,0.00000,3376.23681,0.00000,1.25707,1.25707
10/03/2019,9479048.00919,0.00000,3376.23681,0.00000,0.61467,0.61467
10/02/2019,9421118.17439,0.00000,3376.23681,0.00000,-0.99072,-0.99072
10/01/2019,9515423.20246,-0.00086,3376.23681,0.00000,-0.35493,-0.35493
09/30/2019,9546244.01432,0.00000,6460.90586,0.00000,0.03220,0.03220
