Client Name:  Marketocracy Capital Management, LLC
Folio Name:  FOLIOfn: eugeneg_EMF
Folio Number:  9A1536600D01
Download Date:  05/20/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
05/17/2019,9461518.71639,0.00000,0.00000,0.00000,-0.55525,-0.55525
05/16/2019,9514347.53582,0.00011,0.00000,0.00000,0.28085,0.28085
05/15/2019,9484672.42568,0.00000,3029.21745,0.00000,0.52280,0.52280
05/14/2019,9435328.33103,0.00000,3029.21745,0.00000,0.67705,0.67705
05/13/2019,9371855.31096,0.00000,3029.21745,0.00000,-2.62929,-2.62929
05/10/2019,9625004.26499,0.00000,3029.21745,0.00000,0.12516,0.12516
05/09/2019,9615998.45055,0.00000,0.00000,0.00000,-0.23984,-0.23984
05/08/2019,9639117.23026,0.00000,0.00000,0.00000,-0.33582,-0.33582
05/07/2019,9671596.12828,0.00000,0.00000,0.00000,-1.23695,-1.23695
05/06/2019,9792726.89836,0.00000,0.00000,0.00000,-0.12731,-0.12731
05/03/2019,9805209.47489,0.00000,0.00000,0.00000,0.81809,0.81809
05/02/2019,9725644.94987,0.00000,0.00000,0.00000,-0.30749,-0.30749
05/01/2019,9755642.57566,0.00000,0.00000,0.00000,-0.07009,-0.07009
04/30/2019,9762485.24981,0.00000,0.00000,0.00000,-0.78967,-0.78967
04/29/2019,9840190.71894,0.00000,0.00000,0.00000,0.49411,0.49411
04/26/2019,9791808.48170,0.00000,0.00000,0.00000,0.29563,0.29563
04/25/2019,9762946.49417,0.00000,0.00000,0.00000,0.02634,0.02634
04/24/2019,9760375.12820,0.00000,0.00000,0.00000,-0.09040,-0.09040
04/23/2019,9769206.93512,0.00000,0.00000,0.00000,0.56022,0.56022
04/22/2019,9714782.92434,0.00000,0.00000,0.00000,0.69700,0.69700
04/18/2019,9647539.22096,0.00000,0.00000,0.00000,0.27144,0.27144
04/17/2019,9621422.73519,0.00000,0.00000,0.00000,0.22001,0.22001
04/16/2019,9600300.99343,0.00000,0.00000,0.00000,0.42580,0.42580
