Client Name:  Marketocracy Capital Management, LLC
Folio Name:  FOLIOfn: dwieman_DWVMF
Folio Number:  9A1536700501
Download Date:  02/28/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
02/27/2020,3791617.16962,0.00000,0.00000,0.00000,-4.79600,-4.79600
02/26/2020,3982623.73404,0.00000,0.00000,0.00000,-0.99067,-0.99067
02/25/2020,4022473.10507,0.00000,0.00000,0.00000,-3.43786,-3.43786
02/24/2020,4165683.36311,0.00000,0.00000,0.00000,-3.76707,-3.76707
02/21/2020,4328750.43550,-0.00041,0.00000,0.00000,-1.76972,-1.76972
02/20/2020,4405366.67822,0.00000,1370.47790,0.00000,-0.57528,-0.57528
02/19/2020,4430864.42147,0.00000,1370.47790,0.00000,1.75986,1.75986
02/18/2020,4354212.41122,0.00000,1370.47790,0.00000,1.37628,1.37628
02/14/2020,4295081.31560,0.00000,1370.47790,0.00000,-0.10172,-0.10172
02/13/2020,4299456.32438,0.00000,1370.47790,0.00000,0.82364,0.82364
02/12/2020,4264322.55580,0.00000,1370.47790,0.00000,0.61412,0.61412
02/11/2020,4238286.02439,0.00000,1370.47790,0.00000,0.25748,0.25748
02/10/2020,4227397.67457,0.00000,1370.47790,0.00000,0.98877,0.98877
02/07/2020,4185994.16971,-0.00106,1370.47790,0.00000,0.18304,0.18304
02/06/2020,4178062.20885,0.00000,1651.86900,0.00000,-0.37300,-0.37300
02/05/2020,4193711.06764,0.00000,1651.86900,0.00000,-3.36259,-3.36259
02/04/2020,4341063.00378,0.00000,281.39110,0.00000,4.00502,4.00502
02/03/2020,4173886.58478,0.00000,281.39110,0.00000,3.84885,3.84885
01/31/2020,4019183.37390,0.00000,281.39110,0.00000,-0.29396,-0.29396
01/30/2020,4031033.79558,0.00000,281.39110,0.00000,1.47253,1.47253
01/29/2020,3972532.72511,0.00000,281.39110,0.00000,-0.03476,-0.03476
01/28/2020,3973914.16881,0.00000,281.39110,0.00000,1.09919,1.09919
01/27/2020,3930704.98285,0.00000,281.39110,0.00000,-1.84125,-1.84125
