Client Name:  Marketocracy Capital Management, LLC
Folio Name:  FOLIOfn: dwieman_DWVMF
Folio Number:  9A1536700501
Download Date:  07/06/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
07/02/2020,4498765.66744,0.00000,0.00000,0.00000,1.87605,1.87605
07/01/2020,4415920.76989,0.00000,0.00000,0.00000,1.98435,1.98435
06/30/2020,4329998.27610,0.00000,0.00000,0.00000,2.47769,2.47769
06/29/2020,4225308.32406,0.00000,0.00000,0.00000,2.05943,2.05943
06/26/2020,4140046.94605,0.00000,0.00000,0.00000,-2.33195,-2.33195
06/25/2020,4238895.98056,0.00000,0.00000,0.00000,1.18670,1.18670
06/24/2020,4189183.09674,0.00000,0.00000,0.00000,-3.06177,-3.06177
06/23/2020,4321497.35026,0.00000,0.00000,0.00000,0.95277,0.95277
06/22/2020,4280711.84349,0.00000,0.00000,0.00000,0.68415,0.68415
06/19/2020,4251624.47912,0.00000,0.00000,0.00000,-1.06271,-1.06271
06/18/2020,4297292.31367,0.00000,0.00000,0.00000,0.42627,0.42627
06/17/2020,4279052.00277,0.00000,0.00000,0.00000,-0.05342,-0.05342
06/16/2020,4281339.05609,0.00000,0.00000,0.00000,1.08474,1.08474
06/15/2020,4235396.10408,0.00000,0.00000,0.00000,2.15422,2.15422
06/12/2020,4146080.54512,0.00000,0.00000,0.00000,0.70037,0.70037
06/11/2020,4117244.41275,-0.00017,0.00000,0.00000,-5.57608,-5.57608
06/10/2020,4360133.25072,0.00000,249.61143,0.00000,0.93863,0.93863
06/09/2020,4319585.81972,0.00000,249.61143,0.00000,-0.75369,-0.75369
06/08/2020,4352391.23134,0.00000,249.61143,0.00000,2.80542,2.80542
06/05/2020,4233613.51066,0.00000,249.61143,0.00000,2.76725,2.76725
06/04/2020,4119606.69495,0.00000,249.61143,0.00000,-0.28597,-0.28597
06/03/2020,4131421.87243,0.00000,249.61143,0.00000,1.67898,1.67898
06/02/2020,4063197.52522,0.00000,249.61143,0.00000,0.16002,0.16002
06/01/2020,4056705.55768,0.00000,249.61143,0.00000,2.51540,2.51540
