Client Name:  Marketocracy Capital Management, LLC
Folio Name:  FOLIOfn: sackingswin_NBNN
Folio Number:  9A1538300T01
Download Date:  09/03/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
08/30/2019,6173845.05548,0.00003,0.00000,0.00000,0.26849,0.26849
08/29/2019,6155920.76909,0.00000,1392.44518,0.00000,1.59037,1.59037
08/28/2019,6059529.47279,0.00000,1392.44518,0.00000,0.63408,0.63408
08/27/2019,6021340.52217,-0.00003,1392.44518,0.00000,-0.89706,-0.89706
08/26/2019,6074840.25310,0.00000,2409.20550,0.00000,0.75099,0.75099
08/23/2019,6029541.08822,0.00000,2409.20550,0.00000,-3.16072,-3.16072
08/22/2019,6226416.99696,0.00012,2409.20550,0.00000,-0.40823,-0.40823
08/21/2019,6251628.50234,0.00000,2730.04053,0.00000,0.79750,0.79750
08/20/2019,6202144.50953,0.00000,2730.04053,0.00000,-1.01878,-1.01878
08/19/2019,6266009.24122,0.00000,2730.04053,0.00000,1.54677,1.54677
08/16/2019,6170523.14047,0.00000,2730.04053,0.00000,2.34326,2.34326
08/15/2019,6029179.91541,0.00000,2730.04053,0.00000,-0.34321,-0.34321
08/14/2019,6049953.38438,0.00000,2730.04053,0.00000,-2.78328,-2.78328
08/13/2019,6223694.02667,0.00000,2275.46393,0.00000,1.68100,1.68100
08/12/2019,6120765.49541,0.00000,2275.46393,0.00000,-1.21821,-1.21821
08/09/2019,6197293.41691,0.00000,1258.70361,0.00000,-0.71586,-0.71586
08/08/2019,6241986.48491,0.00000,1258.70361,0.00000,2.09370,2.09370
08/07/2019,6113952.02030,0.00000,1258.70361,0.00000,0.46804,0.46804
08/06/2019,6085463.52536,0.00000,1258.70361,0.00000,0.87748,0.87748
08/05/2019,6032518.35485,0.00000,1258.70361,0.00000,-3.78896,-3.78896
08/02/2019,6270139.26882,0.00000,1258.70361,0.00000,-1.72068,-1.72068
08/01/2019,6379939.25416,0.00000,1258.70361,0.00000,-1.70508,-1.70508
07/31/2019,6490631.26812,-0.00002,1258.70361,0.00000,-1.12964,-1.12964
07/30/2019,6565130.50160,0.00000,932.36389,0.00000,0.29849,0.29849
