Client Name:  Marketocracy Capital Management, LLC
Folio Name:  FOLIOfn: sackingswin_NBNN
Folio Number:  9A1538300T01
Download Date:  03/24/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
03/23/2020,5341848.12763,0.00000,0.00000,0.00000,-0.90017,-0.90017
03/20/2020,5390370.58717,-0.00067,0.00000,0.00000,-4.18404,-4.18404
03/19/2020,5625176.98910,0.00000,577.60882,0.00000,3.45311,3.45311
03/18/2020,5437397.63052,0.00000,577.60882,0.00000,-6.18473,-6.18473
03/17/2020,5795893.54814,0.00000,577.60882,0.00000,5.96104,5.96104
03/16/2020,5469802.23293,-0.00287,577.60882,0.00000,-12.16256,-12.16256
03/13/2020,6225439.60105,-0.00004,2405.71757,0.00000,9.29404,9.29404
03/12/2020,5694587.52159,0.00233,3660.33323,0.00000,-9.94804,-9.94804
03/11/2020,6320649.45242,0.00000,7083.90655,0.00000,-5.38736,-5.38736
03/10/2020,6680958.53159,0.00000,7083.90655,0.00000,5.38342,5.38342
03/09/2020,6339306.01871,0.00000,7083.90655,0.00000,-8.10107,-8.10107
03/06/2020,6898752.83815,0.00000,7083.90655,0.00000,-2.32628,-2.32628
03/05/2020,7063227.98526,0.00006,7083.90655,0.00000,-2.98114,-2.98114
03/04/2020,7279246.85578,0.00000,8317.82821,0.00000,3.80003,3.80003
03/03/2020,7012455.56750,0.00016,8317.82821,0.00000,-2.05977,-2.05977
03/02/2020,7162265.18271,0.00000,6161.56224,0.00000,3.25460,3.25460
02/28/2020,6936632.44722,-0.00005,5844.57409,0.00000,0.73600,0.73600
02/27/2020,6884936.74969,0.00000,6816.74826,0.00000,-4.31980,-4.31980
02/26/2020,7199431.01678,0.00000,3473.40318,0.00000,-0.67603,-0.67603
02/25/2020,7248456.56664,-0.00079,3473.40318,0.00000,-3.51193,-3.51193
02/24/2020,7511384.08140,0.00000,4498.23508,0.00000,-3.94105,-3.94105
02/21/2020,7819741.64383,0.00000,4498.23508,0.00000,-1.62790,-1.62790
