Client Name:  Marketocracy Capital Management, LLC
Folio Name:  FOLIOfn: stevekus_aval
Folio Number:  9A1538400L01
Download Date:  06/11/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
06/10/2019,10731737.72318,-0.00034,0.00000,0.00000,0.43455,0.43455
06/07/2019,10685304.81336,0.00000,0.00000,0.00000,0.39622,0.39622
06/06/2019,10643135.10463,0.00000,0.00000,0.00000,0.35577,0.35577
06/05/2019,10605403.75380,0.00000,0.00000,0.00000,-1.30953,-1.30953
06/04/2019,10746127.25399,0.00000,0.00000,0.00000,1.57814,1.57814
06/03/2019,10579173.23557,0.00000,0.00000,0.00000,0.41817,0.41817
05/31/2019,10535119.04568,0.00000,0.00000,0.00000,-0.66317,-0.66317
05/30/2019,10605450.98648,0.00000,0.00000,0.00000,-0.70820,-0.70820
05/29/2019,10681094.17728,0.00000,0.00000,0.00000,0.10772,0.10772
05/28/2019,10669600.99088,0.00000,0.00000,0.00000,-0.44564,-0.44564
05/24/2019,10717362.30326,0.00000,0.00000,0.00000,0.24620,0.24620
05/23/2019,10691040.86726,0.00000,0.00000,0.00000,-1.59545,-1.59545
05/22/2019,10864376.25262,0.00000,0.00000,0.00000,-1.09564,-1.09564
05/21/2019,10984729.87429,0.00000,0.00000,0.00000,0.86902,0.86902
05/20/2019,10890092.47989,0.00000,0.00000,0.00000,-0.84923,-0.84923
05/17/2019,10983366.61115,0.00000,0.00000,0.00000,-1.32168,-1.32168
05/16/2019,11130475.58831,0.00000,0.00000,0.00000,0.19482,0.19482
05/15/2019,11108833.32345,0.00000,0.00000,0.00000,0.04305,0.04305
05/14/2019,11104052.57387,16911.57626,0.00000,0.00000,1.17862,1.17862
05/13/2019,10957889.00543,0.00000,0.00000,0.00000,-2.14745,-2.14745
05/10/2019,11198368.74210,0.00000,0.00000,0.00000,-0.08284,-0.08284
