Client Name:  Marketocracy Capital Management, LLC
Folio Name:  FOLIOfn: stevekus_aval
Folio Number:  9A1538400L01
Download Date:  07/24/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
07/23/2019,10925841.61406,0.00000,0.00000,0.00000,0.40524,0.40524
07/22/2019,10881744.07491,0.00000,0.00000,0.00000,0.10395,0.10395
07/19/2019,10870443.89414,-0.00009,0.00000,0.00000,0.49520,0.49520
07/18/2019,10816879.04949,0.00000,0.00000,0.00000,-0.22601,-0.22601
07/17/2019,10841381.54961,0.00000,0.00000,0.00000,-1.31048,-1.31048
07/16/2019,10985342.04285,0.00000,0.00000,0.00000,-0.43909,-0.43909
07/15/2019,11033790.36528,0.00032,0.00000,0.00000,-0.27681,-0.27681
07/12/2019,11059511.36438,0.00000,4906.44368,0.00000,0.72722,0.72722
07/11/2019,10979630.11724,0.00000,4906.44368,0.00000,-0.03651,-0.03651
07/10/2019,10983641.98577,0.00000,4906.44368,0.00000,0.48709,0.48709
07/09/2019,10930377.09896,0.00000,4906.44368,0.00000,-0.08319,-0.08319
07/08/2019,10939481.62689,0.00000,4906.44368,0.00000,-0.47126,-0.47126
07/05/2019,10991302.25222,0.00000,4906.44368,0.00000,0.18712,0.18712
07/03/2019,10970764.94262,0.00000,4906.44368,0.00000,0.47610,0.47610
07/02/2019,10922665.05188,0.00000,998.56868,0.00000,-0.69140,-0.69140
07/01/2019,10998716.59284,0.00017,998.56868,0.00000,0.36136,0.36136
06/28/2019,10945499.68034,-0.00079,14610.25633,0.00000,0.53906,0.53906
06/27/2019,10886734.54597,0.00000,14610.25633,0.00000,0.27441,0.27441
06/26/2019,10857900.67532,0.00000,13611.68765,0.00000,1.02878,1.02878
06/25/2019,10747195.37298,-0.00006,13611.68765,0.00000,-0.37836,-0.37836
06/24/2019,10782584.67518,0.00000,19091.70430,0.00000,-0.80752,-0.80752
06/21/2019,10870520.09751,0.00000,19091.70430,0.00000,-0.49741,-0.49741
