Client Name:  Marketocracy Capital Management, LLC
Folio Name:  FOLIOfn: stevekus_aval
Folio Number:  9A1538400L01
Download Date:  07/06/2020

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
07/02/2020,7686511.55572,0.00000,0.00000,0.00000,0.00000,0.00000
07/01/2020,7686511.55572,0.00000,0.00000,0.00000,0.00000,0.00000
06/30/2020,7686511.55572,0.00000,0.00000,0.00000,0.00000,0.00000
06/29/2020,7686511.55572,0.00000,0.00000,0.00000,0.00000,0.00000
06/26/2020,7686511.55572,0.00000,0.00000,0.00000,0.00000,0.00000
06/25/2020,7686511.55572,0.00000,0.00000,0.00000,0.00000,0.00000
06/24/2020,7686511.55572,0.00000,0.00000,0.00000,0.00000,0.00000
06/23/2020,7686511.55572,0.00000,0.00000,0.00000,0.00000,0.00000
06/22/2020,7686511.55572,0.00000,0.00000,0.00000,0.00000,0.00000
06/19/2020,7686511.55572,0.00000,0.00000,0.00000,0.00000,0.00000
06/18/2020,7686511.55572,0.00000,0.00000,0.00000,0.00000,0.00000
06/17/2020,7686511.55572,0.00000,0.00000,0.00000,0.00000,0.00000
06/16/2020,7686511.55572,0.00000,0.00000,0.00000,0.00000,0.00000
06/15/2020,7686511.55572,0.00000,0.00000,0.00000,0.00000,0.00000
06/12/2020,7686511.55572,0.00000,0.00000,0.00000,0.00000,0.00000
06/11/2020,7686511.55572,0.00000,0.00000,0.00000,0.00000,0.00000
06/10/2020,7686511.55572,0.00000,0.00000,0.00000,0.00000,0.00000
06/09/2020,7686511.55572,0.00000,0.00000,0.00000,0.00000,0.00000
06/08/2020,7686511.55572,0.00000,0.00000,0.00000,0.00000,0.00000
06/05/2020,7686511.55572,0.00000,0.00000,0.00000,0.00000,0.00000
06/04/2020,7686511.55572,0.00000,0.00000,0.00000,0.00000,0.00000
06/03/2020,7686511.55572,0.00000,0.00000,0.00000,0.00000,0.00000
06/02/2020,7686511.55572,0.00000,0.00000,0.00000,0.00000,0.00000
06/01/2020,7686511.55572,0.00000,0.00000,0.00000,0.00000,0.00000
