Client Name:  Marketocracy Capital Management, LLC
Folio Name:  FOLIOfn: huyehara_HMF
Folio Number:  9A1539300P01
Download Date:  08/26/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
08/23/2019,15657646.02702,0.00000,0.00000,0.00000,-2.90172,-2.90172
08/22/2019,16125564.01162,0.00000,0.00000,0.00000,-1.53663,-1.53663
08/21/2019,16377220.92967,0.00000,0.00000,0.00000,1.37530,1.37530
08/20/2019,16155040.61717,0.00000,0.00000,0.00000,-1.59644,-1.59644
08/19/2019,16417130.28880,0.00000,0.00000,0.00000,4.90443,4.90443
08/16/2019,15649605.84012,0.00000,0.00000,0.00000,2.85149,2.85149
08/15/2019,15215731.07565,0.00000,0.00000,0.00000,-0.87284,-0.87284
08/14/2019,15349708.80260,0.00000,0.00000,0.00000,-3.77466,-3.77466
08/13/2019,15951835.76290,0.00000,0.00000,0.00000,1.25041,1.25041
08/12/2019,15754836.04478,0.00000,0.00000,0.00000,-0.48346,-0.48346
08/09/2019,15831374.23681,0.00000,0.00000,0.00000,-1.29640,-1.29640
08/08/2019,16039308.46186,0.00000,0.00000,0.00000,6.22100,6.22100
08/07/2019,15099940.86071,0.00000,0.00000,0.00000,0.18048,0.18048
08/06/2019,15072737.62836,0.00000,0.00000,0.00000,1.50408,1.50408
08/05/2019,14849390.93351,0.00000,0.00000,0.00000,-4.11245,-4.11245
08/02/2019,15486256.22493,0.00000,0.00000,0.00000,-1.49039,-1.49039
08/01/2019,15720553.64331,0.00000,0.00000,0.00000,-2.77016,-2.77016
07/31/2019,16168444.68196,0.00000,0.00000,0.00000,-0.89922,-0.89922
07/30/2019,16315153.33590,0.00000,0.00000,0.00000,0.73239,0.73239
07/29/2019,16196531.01245,0.00000,0.00000,0.00000,-0.41725,-0.41725
07/26/2019,16264394.02727,0.00000,0.00000,0.00000,0.69582,0.69582
07/25/2019,16152005.52183,0.00000,0.00000,0.00000,-1.42192,-1.42192
07/24/2019,16384987.05888,0.00000,0.00000,0.00000,1.90852,1.90852
07/23/2019,16078131.93451,0.00000,0.00000,0.00000,-0.04758,-0.04758
